Sept. 9, 2026   17:48:44
A.C. Impedance
File: ni_foil_eis 0.868 v.bin
Data Source:  Experiment
Instrument Model:  CHI660D
Header: 
Note: 

Init E (V) = 0.868
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.990e+5, 2.133e+0, 1.521e-1, 2.139e+0, 4.1
8.252e+5, 1.964e+0, 1.281e-1, 1.968e+0, 3.7
6.816e+5, 1.891e+0, 6.015e-2, 1.892e+0, 1.8
5.625e+5, 1.841e+0, 8.961e-3, 1.841e+0, 0.3
4.639e+5, 1.834e+0, -3.527e-2, 1.835e+0, -1.1
3.828e+5, 1.837e+0, -5.999e-2, 1.838e+0, -1.9
3.164e+5, 1.852e+0, -8.118e-2, 1.854e+0, -2.5
2.607e+5, 1.866e+0, -8.871e-2, 1.868e+0, -2.7
2.158e+5, 1.883e+0, -9.190e-2, 1.885e+0, -2.8
1.777e+5, 1.899e+0, -9.303e-2, 1.902e+0, -2.8
1.465e+5, 1.917e+0, -9.188e-2, 1.919e+0, -2.7
1.211e+5, 1.933e+0, -9.028e-2, 1.935e+0, -2.7
9.961e+4, 1.947e+0, -8.615e-2, 1.949e+0, -2.5
8.252e+4, 1.958e+0, -8.004e-2, 1.959e+0, -2.3
6.812e+4, 1.966e+0, -7.366e-2, 1.968e+0, -2.1
5.615e+4, 1.973e+0, -6.732e-2, 1.974e+0, -2.0
4.639e+4, 1.977e+0, -6.251e-2, 1.978e+0, -1.8
3.833e+4, 1.981e+0, -5.942e-2, 1.982e+0, -1.7
3.174e+4, 1.984e+0, -5.818e-2, 1.985e+0, -1.7
2.612e+4, 1.988e+0, -5.913e-2, 1.989e+0, -1.7
2.148e+4, 1.992e+0, -6.138e-2, 1.993e+0, -1.8
1.782e+4, 1.995e+0, -6.455e-2, 1.996e+0, -1.9
1.465e+4, 1.999e+0, -6.889e-2, 2.000e+0, -2.0
1.221e+4, 2.003e+0, -7.458e-2, 2.005e+0, -2.1
1.001e+4, 2.009e+0, -8.292e-2, 2.010e+0, -2.4
8.301e+3, 2.014e+0, -9.386e-2, 2.016e+0, -2.7
6.836e+3, 2.020e+0, -1.058e-1, 2.023e+0, -3.0
5.615e+3, 2.027e+0, -1.188e-1, 2.031e+0, -3.4
4.639e+3, 2.035e+0, -1.330e-1, 2.039e+0, -3.7
3.906e+3, 2.044e+0, -1.498e-1, 2.050e+0, -4.2
3.174e+3, 2.055e+0, -1.693e-1, 2.062e+0, -4.7
2.686e+3, 2.068e+0, -1.916e-1, 2.077e+0, -5.3
2.197e+3, 2.086e+0, -2.204e-1, 2.098e+0, -6.0
1.709e+3, 2.107e+0, -2.530e-1, 2.122e+0, -6.8
1.465e+3, 2.130e+0, -2.868e-1, 2.150e+0, -7.7
1.221e+3, 2.159e+0, -3.257e-1, 2.184e+0, -8.6
9.766e+2, 2.197e+0, -3.679e-1, 2.228e+0, -9.5
8.252e+2, 2.244e+0, -4.121e-1, 2.281e+0, -10.4
6.836e+2, 2.298e+0, -4.609e-1, 2.344e+0, -11.3
5.615e+2, 2.362e+0, -5.126e-1, 2.417e+0, -12.2
4.639e+2, 2.436e+0, -5.645e-1, 2.501e+0, -13.0
3.809e+2, 2.524e+0, -6.130e-1, 2.597e+0, -13.7
3.174e+2, 2.624e+0, -6.541e-1, 2.704e+0, -14.0
2.588e+2, 2.736e+0, -6.834e-1, 2.820e+0, -14.0
2.148e+2, 2.856e+0, -6.957e-1, 2.939e+0, -13.7
1.758e+2, 2.977e+0, -6.892e-1, 3.056e+0, -13.0
1.465e+2, 3.092e+0, -6.658e-1, 3.163e+0, -12.2
1.221e+2, 3.201e+0, -6.252e-1, 3.262e+0, -11.1
9.766e+1, 3.289e+0, -5.656e-1, 3.337e+0, -9.8
8.254e+1, 3.352e+0, -4.980e-1, 3.389e+0, -8.4
6.813e+1, 3.405e+0, -4.346e-1, 3.432e+0, -7.3
5.623e+1, 3.447e+0, -3.778e-1, 3.468e+0, -6.3
4.642e+1, 3.482e+0, -3.273e-1, 3.497e+0, -5.4
3.831e+1, 3.508e+0, -2.820e-1, 3.520e+0, -4.6
3.162e+1, 3.529e+0, -2.416e-1, 3.537e+0, -3.9
2.610e+1, 3.544e+0, -2.061e-1, 3.550e+0, -3.3
2.154e+1, 3.556e+0, -1.764e-1, 3.560e+0, -2.8
1.778e+1, 3.566e+0, -1.523e-1, 3.569e+0, -2.4
1.468e+1, 3.573e+0, -1.331e-1, 3.575e+0, -2.1
1.212e+1, 3.581e+0, -1.161e-1, 3.582e+0, -1.9
1.000e+1, 3.560e+0, -9.913e-2, 3.561e+0, -1.6
8.254e+0, 3.539e+0, -8.520e-2, 3.540e+0, -1.4
6.813e+0, 3.550e+0, -7.613e-2, 3.550e+0, -1.2
5.623e+0, 3.564e+0, -7.161e-2, 3.564e+0, -1.2
4.642e+0, 3.579e+0, -7.522e-2, 3.580e+0, -1.2
3.831e+0, 3.596e+0, -7.501e-2, 3.597e+0, -1.2
3.162e+0, 3.605e+0, -7.300e-2, 3.605e+0, -1.2
2.610e+0, 3.598e+0, -6.873e-2, 3.599e+0, -1.1
2.154e+0, 3.594e+0, -6.879e-2, 3.595e+0, -1.1
1.778e+0, 3.601e+0, -7.995e-2, 3.602e+0, -1.3
1.468e+0, 3.613e+0, -8.479e-2, 3.614e+0, -1.3
1.212e+0, 3.625e+0, -8.593e-2, 3.626e+0, -1.4
1.000e+0, 3.637e+0, -8.418e-2, 3.638e+0, -1.3
