Sept. 9, 2026   16:46:25
Linear Sweep Voltammetry
File: ni_foil_lsv 2.3 ohm.bin
Data Source:  Experiment
Instrument Model:  CHI660D
Header: 
Note: 

Init E (V) = 0
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Results:

Channel 1:
Ep = 0.438V
ip = 9.410e-4A
Ah = 1.081e-3C

Potential/V, Current/A

0.000, -7.889e-6
0.001, -7.108e-6
0.002, -6.796e-6
0.003, -6.717e-6
0.004, -6.874e-6
0.005, -6.796e-6
0.006, -6.874e-6
0.007, -7.342e-6
0.008, -7.186e-6
0.009, -7.186e-6
0.010, -7.030e-6
0.011, -7.108e-6
0.012, -7.342e-6
0.013, -7.030e-6
0.014, -7.108e-6
0.015, -7.342e-6
0.016, -7.577e-6
0.017, -7.420e-6
0.018, -6.952e-6
0.019, -7.186e-6
0.020, -7.499e-6
0.021, -7.108e-6
0.022, -6.796e-6
0.023, -7.342e-6
0.024, -7.264e-6
0.025, -7.420e-6
0.026, -7.499e-6
0.027, -7.420e-6
0.028, -7.420e-6
0.029, -7.342e-6
0.030, -7.420e-6
0.031, -7.499e-6
0.032, -7.499e-6
0.033, -7.655e-6
0.034, -7.108e-6
0.035, -7.733e-6
0.036, -7.577e-6
0.037, -7.264e-6
0.038, -7.186e-6
0.039, -7.264e-6
0.040, -7.733e-6
0.041, -7.577e-6
0.042, -7.499e-6
0.043, -7.108e-6
0.044, -6.874e-6
0.045, -7.186e-6
0.046, -7.186e-6
0.047, -7.108e-6
0.048, -7.342e-6
0.049, -7.811e-6
0.050, -7.342e-6
0.051, -7.889e-6
0.052, -7.577e-6
0.053, -7.420e-6
0.054, -7.499e-6
0.055, -7.499e-6
0.056, -7.811e-6
0.057, -7.577e-6
0.058, -7.499e-6
0.059, -7.499e-6
0.060, -7.420e-6
0.061, -7.811e-6
0.062, -8.045e-6
0.063, -7.889e-6
0.064, -7.889e-6
0.065, -7.733e-6
0.066, -7.108e-6
0.067, -7.108e-6
