Sept. 9, 2026   16:26:14
Open Circuit Potential - Time
File: ni_foil_ocv 30 min
Data Source:  Experiment
Instrument Model:  CHI660D
Header: 
Note: 

Sample Interval (V) = 1
Run Time (sec) = 1.8e+3

Time/sec, Potential/V

1.000e+0, -3.079e-1
2.000e+0, -3.079e-1
3.000e+0, -3.079e-1
4.000e+0, -3.079e-1
5.000e+0, -3.079e-1
6.000e+0, -3.078e-1
7.000e+0, -3.078e-1
8.000e+0, -3.078e-1
9.000e+0, -3.077e-1
1.000e+1, -3.077e-1
1.100e+1, -3.076e-1
1.200e+1, -3.076e-1
1.300e+1, -3.076e-1
1.400e+1, -3.075e-1
1.500e+1, -3.075e-1
1.600e+1, -3.074e-1
1.700e+1, -3.074e-1
1.800e+1, -3.074e-1
1.900e+1, -3.073e-1
2.000e+1, -3.073e-1
2.100e+1, -3.073e-1
2.200e+1, -3.072e-1
2.300e+1, -3.072e-1
2.400e+1, -3.071e-1
2.500e+1, -3.071e-1
2.600e+1, -3.071e-1
2.700e+1, -3.070e-1
2.800e+1, -3.070e-1
2.900e+1, -3.069e-1
3.000e+1, -3.069e-1
3.100e+1, -3.069e-1
3.200e+1, -3.068e-1
3.300e+1, -3.068e-1
3.400e+1, -3.068e-1
3.500e+1, -3.067e-1
3.600e+1, -3.067e-1
3.700e+1, -3.067e-1
3.800e+1, -3.066e-1
3.900e+1, -3.066e-1
4.000e+1, -3.065e-1
4.100e+1, -3.065e-1
4.200e+1, -3.064e-1
4.300e+1, -3.064e-1
4.400e+1, -3.012e-1
4.500e+1, -3.063e-1
4.600e+1, -3.063e-1
4.700e+1, -3.062e-1
4.800e+1, -3.062e-1
4.900e+1, -3.062e-1
5.000e+1, -3.061e-1
5.100e+1, -3.061e-1
5.200e+1, -3.060e-1
5.300e+1, -3.060e-1
5.400e+1, -3.060e-1
5.500e+1, -3.059e-1
5.600e+1, -3.059e-1
5.700e+1, -3.059e-1
5.800e+1, -3.058e-1
5.900e+1, -3.058e-1
6.000e+1, -3.058e-1
6.100e+1, -3.057e-1
6.200e+1, -3.057e-1
6.300e+1, -3.057e-1
6.400e+1, -3.056e-1
6.500e+1, -3.056e-1
6.600e+1, -3.056e-1
6.700e+1, -3.055e-1
6.800e+1, -3.055e-1
6.900e+1, -3.055e-1
7.000e+1, -3.055e-1
7.100e+1, -3.055e-1
7.200e+1, -3.055e-1
7.300e+1, -3.055e-1
7.400e+1, -3.054e-1
7.500e+1, -3.054e-1
7.600e+1, -3.055e-1
7.700e+1, -3.055e-1
7.800e+1, -3.054e-1
7.900e+1, -3.055e-1
8.000e+1, -3.056e-1
8.100e+1, -3.056e-1
8.200e+1, -3.056e-1
8.300e+1, -3.056e-1
8.400e+1, -3.056e-1
8.500e+1, -3.056e-1
8.600e+1, -3.055e-1
8.700e+1, -3.055e-1
8.800e+1, -3.055e-1
8.900e+1, -3.055e-1
9.000e+1, -3.054e-1
9.100e+1, -3.054e-1
9.200e+1, -3.054e-1
9.300e+1, -3.054e-1
