Source file,Ni_foil_CP 10 mA cm2.txt
Reference electrode potential (V vs. RHE),
Working area (cm^2),2
Solution resistance (ohm),,Compensation level (%),

Mode,Current (A),Time (s),Current density (mA/cm^2),Time (sec),Original Potential (V),Potential / V
Chronopotentiometry,0.02,1800,10,0.1,0.5983,0.5983
Chronopotentiometry,0.02,1800,10,0.2,0.7553,0.7553
Chronopotentiometry,0.02,1800,10,0.3,0.7628,0.7628
Chronopotentiometry,0.02,1800,10,0.4,0.7645,0.7645
Chronopotentiometry,0.02,1800,10,0.5,0.7655,0.7655
Chronopotentiometry,0.02,1800,10,0.6,0.7662,0.7662
Chronopotentiometry,0.02,1800,10,0.7,0.7666,0.7666
Chronopotentiometry,0.02,1800,10,0.8,0.767,0.767
Chronopotentiometry,0.02,1800,10,0.9,0.7673,0.7673
Chronopotentiometry,0.02,1800,10,1.0,0.7676,0.7676
Chronopotentiometry,0.02,1800,10,1.1,0.7678,0.7678
Chronopotentiometry,0.02,1800,10,1.2,0.7681,0.7681
Chronopotentiometry,0.02,1800,10,1.3,0.7683,0.7683
Chronopotentiometry,0.02,1800,10,1.4,0.7685,0.7685
Chronopotentiometry,0.02,1800,10,1.5,0.7687,0.7687
Chronopotentiometry,0.02,1800,10,1.6,0.7689,0.7689
Chronopotentiometry,0.02,1800,10,1.7,0.7691,0.7691
Chronopotentiometry,0.02,1800,10,1.8,0.7692,0.7692
Chronopotentiometry,0.02,1800,10,1.9,0.7693,0.7693
Chronopotentiometry,0.02,1800,10,2.0,0.7695,0.7695
Chronopotentiometry,0.02,1800,10,2.1,0.7697,0.7697
Chronopotentiometry,0.02,1800,10,2.2,0.7699,0.7699
Chronopotentiometry,0.02,1800,10,2.3,0.77,0.77
Chronopotentiometry,0.02,1800,10,2.4,0.7701,0.7701
Chronopotentiometry,0.02,1800,10,2.5,0.7703,0.7703
Chronopotentiometry,0.02,1800,10,2.6,0.7705,0.7705
Chronopotentiometry,0.02,1800,10,2.7,0.7707,0.7707
Chronopotentiometry,0.02,1800,10,2.8,0.7708,0.7708
Chronopotentiometry,0.02,1800,10,2.9,0.7709,0.7709
Chronopotentiometry,0.02,1800,10,3.0,0.7709,0.7709
Chronopotentiometry,0.02,1800,10,3.1,0.771,0.771
Chronopotentiometry,0.02,1800,10,3.2,0.7711,0.7711
Chronopotentiometry,0.02,1800,10,3.3,0.7712,0.7712
Chronopotentiometry,0.02,1800,10,3.4,0.7712,0.7712
Chronopotentiometry,0.02,1800,10,3.5,0.7713,0.7713
Chronopotentiometry,0.02,1800,10,3.6,0.7714,0.7714
Chronopotentiometry,0.02,1800,10,3.7,0.7714,0.7714
Chronopotentiometry,0.02,1800,10,3.8,0.7716,0.7716
Chronopotentiometry,0.02,1800,10,3.9,0.7716,0.7716
Chronopotentiometry,0.02,1800,10,4.0,0.7717,0.7717
Chronopotentiometry,0.02,1800,10,4.1,0.7717,0.7717
Chronopotentiometry,0.02,1800,10,4.2,0.7718,0.7718
Chronopotentiometry,0.02,1800,10,4.3,0.7719,0.7719
Chronopotentiometry,0.02,1800,10,4.4,0.772,0.772
Chronopotentiometry,0.02,1800,10,4.5,0.7721,0.7721
Chronopotentiometry,0.02,1800,10,4.6,0.7721,0.7721
Chronopotentiometry,0.02,1800,10,4.7,0.7721,0.7721
Chronopotentiometry,0.02,1800,10,4.8,0.7723,0.7723
Chronopotentiometry,0.02,1800,10,4.9,0.7723,0.7723
Chronopotentiometry,0.02,1800,10,5.0,0.7724,0.7724
Chronopotentiometry,0.02,1800,10,5.1,0.7725,0.7725
Chronopotentiometry,0.02,1800,10,5.2,0.7726,0.7726
Chronopotentiometry,0.02,1800,10,5.3,0.7726,0.7726
Chronopotentiometry,0.02,1800,10,5.4,0.7726,0.7726
Chronopotentiometry,0.02,1800,10,5.5,0.7728,0.7728
Chronopotentiometry,0.02,1800,10,5.6,0.7729,0.7729
Chronopotentiometry,0.02,1800,10,5.7,0.7729,0.7729
Chronopotentiometry,0.02,1800,10,5.8,0.7729,0.7729
Chronopotentiometry,0.02,1800,10,5.9,0.773,0.773
Chronopotentiometry,0.02,1800,10,6.0,0.7731,0.7731
Chronopotentiometry,0.02,1800,10,6.1,0.7732,0.7732
Chronopotentiometry,0.02,1800,10,6.2,0.7733,0.7733
Chronopotentiometry,0.02,1800,10,6.3,0.7733,0.7733
Chronopotentiometry,0.02,1800,10,6.4,0.7733,0.7733
Chronopotentiometry,0.02,1800,10,6.5,0.7733,0.7733
Chronopotentiometry,0.02,1800,10,6.6,0.7733,0.7733
Chronopotentiometry,0.02,1800,10,6.7,0.7735,0.7735
Chronopotentiometry,0.02,1800,10,6.8,0.7735,0.7735
Chronopotentiometry,0.02,1800,10,6.9,0.7735,0.7735
Chronopotentiometry,0.02,1800,10,7.0,0.7736,0.7736
Chronopotentiometry,0.02,1800,10,7.1,0.7737,0.7737
Chronopotentiometry,0.02,1800,10,7.2,0.7737,0.7737
Chronopotentiometry,0.02,1800,10,7.3,0.7737,0.7737
Chronopotentiometry,0.02,1800,10,7.4,0.7738,0.7738
Chronopotentiometry,0.02,1800,10,7.5,0.7739,0.7739
Chronopotentiometry,0.02,1800,10,7.6,0.774,0.774
Chronopotentiometry,0.02,1800,10,7.7,0.774,0.774
Chronopotentiometry,0.02,1800,10,7.8,0.774,0.774
Chronopotentiometry,0.02,1800,10,7.9,0.774,0.774
Chronopotentiometry,0.02,1800,10,8.0,0.774,0.774
Chronopotentiometry,0.02,1800,10,8.1,0.7741,0.7741
Chronopotentiometry,0.02,1800,10,8.2,0.7742,0.7742
Chronopotentiometry,0.02,1800,10,8.3,0.7743,0.7743
Chronopotentiometry,0.02,1800,10,8.4,0.7743,0.7743
Chronopotentiometry,0.02,1800,10,8.5,0.7743,0.7743
Chronopotentiometry,0.02,1800,10,8.6,0.7744,0.7744
Chronopotentiometry,0.02,1800,10,8.7,0.7744,0.7744
Chronopotentiometry,0.02,1800,10,8.8,0.7745,0.7745
Chronopotentiometry,0.02,1800,10,8.9,0.7745,0.7745
Chronopotentiometry,0.02,1800,10,9.0,0.7745,0.7745
Chronopotentiometry,0.02,1800,10,9.1,0.7746,0.7746
Chronopotentiometry,0.02,1800,10,9.2,0.7747,0.7747
Chronopotentiometry,0.02,1800,10,9.3,0.7747,0.7747
Chronopotentiometry,0.02,1800,10,9.4,0.7747,0.7747
Chronopotentiometry,0.02,1800,10,9.5,0.7747,0.7747
