Ni_foil_CV 10 mV.txt Potential V,Current density mA/cm^2,Ni_foil_CV 20 mV.txt Potential V,Current density mA/cm^2,Ni_foil_CV 40 mV.txt Potential V,Current density mA/cm^2,Ni_foil_CV 80 mV.txt Potential V,Current density mA/cm^2,Ni_foil_CV 100 mV.txt Potential V,Current density mA/cm^2,Ni_foil_CV 120 mV.txt Potential V,Current density mA/cm^2,Ni_foil_CV 160 mV.txt Potential V,Current density mA/cm^2,Ni_foil_CV 200 mV.txt Potential V,Current density mA/cm^2
10 mV/s,10 mV/s,20 mV/s,20 mV/s,40 mV/s,40 mV/s,80 mV/s,80 mV/s,100 mV/s,100 mV/s,120 mV/s,120 mV/s,160 mV/s,160 mV/s,200 mV/s,200 mV/s
0.15,-0.00015155,0.15,-0.00044365,0.15,-0.002044,0.15,-0.0018035,0.15,-0.0027415,0.15,-0.002435,0.15,-0.0042285,0.15,-0.00662
0.151,0.0004831,0.151,0.000754,0.151,0.0010555,0.151,0.002149,0.151,0.0024215,0.151,0.0030245,0.151,0.0036355,0.151,0.0041585
0.152,0.000616,0.152,0.000984,0.152,0.001561,0.152,0.0028215,0.152,0.0033995,0.152,0.0039805,0.152,0.005045,0.152,0.006045
0.153,0.0007175,0.153,0.0011715,0.153,0.0019015,0.153,0.0034485,0.153,0.0041435,0.153,0.004839,0.153,0.006095,0.153,0.007295
0.154,0.000786,0.154,0.00129,0.154,0.0021305,0.154,0.0038305,0.154,0.004585,0.154,0.005365,0.154,0.00677,0.154,0.008105
0.155,0.0008365,0.155,0.0014025,0.155,0.0023135,0.155,0.004184,0.155,0.005,0.155,0.00586,0.155,0.007425,0.155,0.008805
0.156,0.000884,0.156,0.001478,0.156,0.002499,0.156,0.0044275,0.156,0.00535,0.156,0.00621,0.156,0.00785,0.156,0.009575
0.157,0.00093,0.157,0.001535,0.157,0.0026,0.157,0.004652,0.157,0.005615,0.157,0.00655,0.157,0.00825,0.157,0.00985
0.158,0.0009535,0.158,0.0016045,0.158,0.002734,0.158,0.004884,0.158,0.00584,0.158,0.00679,0.158,0.008635,0.158,0.010385
0.159,0.001001,0.159,0.001674,0.159,0.0028495,0.159,0.005115,0.159,0.00613,0.159,0.00719,0.159,0.00904,0.159,0.010945
0.16,0.001014,0.16,0.0017115,0.16,0.002936,0.16,0.00519,0.16,0.00622,0.16,0.00726,0.16,0.00932,0.16,0.01113
0.161,0.00105,0.161,0.001775,0.161,0.0030465,0.161,0.00544,0.161,0.006485,0.161,0.00755,0.161,0.009665,0.161,0.01152
0.162,0.0010805,0.162,0.0018065,0.162,0.003118,0.162,0.005505,0.162,0.00658,0.162,0.00775,0.162,0.00978,0.162,0.01188
0.163,0.001091,0.163,0.0018565,0.163,0.003197,0.163,0.005695,0.163,0.00683,0.163,0.008,0.163,0.010075,0.163,0.012095
0.164,0.001117,0.164,0.0018795,0.164,0.003275,0.164,0.005805,0.164,0.006945,0.164,0.00805,0.164,0.010295,0.164,0.012295
0.165,0.0011375,0.165,0.0019155,0.165,0.0033065,0.165,0.00588,0.165,0.007125,0.165,0.00831,0.165,0.01058,0.165,0.0127
0.166,0.0011335,0.166,0.00192,0.166,0.0033485,0.166,0.005915,0.166,0.007095,0.166,0.00828,0.166,0.010565,0.166,0.012795
0.167,0.0011805,0.167,0.001982,0.167,0.0034295,0.167,0.0062,0.167,0.00747,0.167,0.00871,0.167,0.010905,0.167,0.013125
0.168,0.001178,0.168,0.002001,0.168,0.0034745,0.168,0.00615,0.168,0.0074,0.168,0.008615,0.168,0.010975,0.168,0.013255
0.169,0.0012015,0.169,0.0020355,0.169,0.003548,0.169,0.00633,0.169,0.007615,0.169,0.00884,0.169,0.01126,0.169,0.0136
0.17,0.0012125,0.17,0.00205,0.17,0.0035915,0.17,0.00633,0.17,0.00764,0.17,0.00896,0.17,0.01133,0.17,0.01368
0.171,0.0012295,0.171,0.002076,0.171,0.003657,0.171,0.00653,0.171,0.00783,0.171,0.009135,0.171,0.011575,0.171,0.013955
0.172,0.0012375,0.172,0.002102,0.172,0.0036935,0.172,0.006535,0.172,0.007935,0.172,0.009185,0.172,0.01176,0.172,0.014185
0.173,0.001251,0.173,0.0021395,0.173,0.0037265,0.173,0.00665,0.173,0.007975,0.173,0.00943,0.173,0.0119,0.173,0.01429
0.174,0.00126,0.174,0.0021385,0.174,0.0037875,0.174,0.006655,0.174,0.00809,0.174,0.00936,0.174,0.011945,0.174,0.01438
0.175,0.0012825,0.175,0.00219,0.175,0.003824,0.175,0.00691,0.175,0.008245,0.175,0.00967,0.175,0.01218,0.175,0.01481
0.176,0.001278,0.176,0.0021795,0.176,0.0038425,0.176,0.00685,0.176,0.008255,0.176,0.009605,0.176,0.01218,0.176,0.0147
0.177,0.0013,0.177,0.0022115,0.177,0.0038875,0.177,0.006945,0.177,0.008405,0.177,0.009755,0.177,0.012425,0.177,0.01495
0.178,0.0013015,0.178,0.002237,0.178,0.0039095,0.178,0.00702,0.178,0.008425,0.178,0.009885,0.178,0.012495,0.178,0.015175
0.179,0.0013305,0.179,0.002274,0.179,0.0039725,0.179,0.00716,0.179,0.00865,0.179,0.01009,0.179,0.012835,0.179,0.01541
0.18,0.001326,0.18,0.002288,0.18,0.00402,0.18,0.007155,0.18,0.00865,0.18,0.01004,0.18,0.012745,0.18,0.015535
0.181,0.001343,0.181,0.0022835,0.181,0.0040065,0.181,0.007195,0.181,0.00867,0.181,0.01022,0.181,0.012915,0.181,0.01552
0.182,0.0013325,0.182,0.0023025,0.182,0.0040635,0.182,0.00727,0.182,0.008785,0.182,0.010125,0.182,0.013,0.182,0.01575
0.183,0.0013665,0.183,0.0023455,0.183,0.0041035,0.183,0.00747,0.183,0.008895,0.183,0.010485,0.183,0.013245,0.183,0.01599
0.184,0.0013575,0.184,0.0023415,0.184,0.004134,0.184,0.00737,0.184,0.00894,0.184,0.010375,0.184,0.013235,0.184,0.015945
0.185,0.001373,0.185,0.0023745,0.185,0.0041905,0.185,0.00751,0.185,0.009045,0.185,0.01056,0.185,0.013435,0.185,0.01628
0.186,0.0013825,0.186,0.002394,0.186,0.004205,0.186,0.007515,0.186,0.009135,0.186,0.01068,0.186,0.013505,0.186,0.016465
0.187,0.0013925,0.187,0.0024075,0.187,0.004242,0.187,0.007685,0.187,0.00922,0.187,0.010745,0.187,0.013715,0.187,0.01642
0.188,0.001402,0.188,0.00242,0.188,0.004293,0.188,0.00766,0.188,0.009255,0.188,0.01087,0.188,0.01381,0.188,0.016685
0.189,0.001407,0.189,0.0024305,0.189,0.0042925,0.189,0.00774,0.189,0.009365,0.189,0.01093,0.189,0.013825,0.189,0.0168
0.19,0.001409,0.19,0.0024415,0.19,0.0043605,0.19,0.00777,0.19,0.009395,0.19,0.010875,0.19,0.014015,0.19,0.016855
0.191,0.0014345,0.191,0.002494,0.191,0.004406,0.191,0.00796,0.191,0.009595,0.191,0.01123,0.191,0.014155,0.191,0.017095
0.192,0.00142,0.192,0.002453,0.192,0.004372,0.192,0.007835,0.192,0.009495,0.192,0.010975,0.192,0.01414,0.192,0.017075
0.193,0.0014465,0.193,0.0025185,0.193,0.004447,0.193,0.00804,0.193,0.009625,0.193,0.011305,0.193,0.01439,0.193,0.01754
0.194,0.001453,0.194,0.0025235,0.194,0.004472,0.194,0.00805,0.194,0.009715,0.194,0.011375,0.194,0.01438,0.194,0.017465
0.195,0.0014685,0.195,0.0025415,0.195,0.0045215,0.195,0.008125,0.195,0.009855,0.195,0.0115,0.195,0.0147,0.195,0.01762
0.196,0.0014695,0.196,0.0025615,0.196,0.0045695,0.196,0.008245,0.196,0.009905,0.196,0.01158,0.196,0.014755,0.196,0.017885
0.197,0.0014835,0.197,0.002577,0.197,0.0045625,0.197,0.00828,0.197,0.01002,0.197,0.011645,0.197,0.01495,0.197,0.01795
0.198,0.0014765,0.198,0.002599,0.198,0.0045995,0.198,0.008295,0.198,0.010015,0.198,0.01175,0.198,0.014985,0.198,0.01815
0.199,0.0015045,0.199,0.0026295,0.199,0.00467,0.199,0.008495,0.199,0.01022,0.199,0.01195,0.199,0.01518,0.199,0.018415
0.2,0.00151,0.2,0.0026255,0.2,0.0046725,0.2,0.00843,0.2,0.010205,0.2,0.01192,0.2,0.01521,0.2,0.018375
0.201,0.0015195,0.201,0.0026665,0.201,0.0047245,0.201,0.00856,0.201,0.010315,0.201,0.012055,0.201,0.01545,0.201,0.01867
0.202,0.001529,0.202,0.002678,0.202,0.0047645,0.202,0.008585,0.202,0.010415,0.202,0.01217,0.202,0.015535,0.202,0.018815
0.203,0.001544,0.203,0.002693,0.203,0.0047885,0.203,0.00871,0.203,0.0105,0.203,0.01234,0.203,0.01567,0.203,0.018975
0.204,0.0015495,0.204,0.002711,0.204,0.0048375,0.204,0.008745,0.204,0.010635,0.204,0.01231,0.204,0.015805,0.204,0.019105
0.205,0.0015335,0.205,0.00268,0.205,0.004754,0.205,0.00864,0.205,0.010455,0.205,0.01218,0.205,0.01564,0.205,0.01889
0.206,0.0015685,0.206,0.0027445,0.206,0.004897,0.206,0.00879,0.206,0.010705,0.206,0.01244,0.206,0.01599,0.206,0.019355
0.207,0.0015955,0.207,0.0027885,0.207,0.004947,0.207,0.00903,0.207,0.0109,0.207,0.012775,0.207,0.01623,0.207,0.01962
0.208,0.00159,0.208,0.002776,0.208,0.004967,0.208,0.008985,0.208,0.010895,0.208,0.01271,0.208,0.016295,0.208,0.019755
0.209,0.0016065,0.209,0.002819,0.209,0.00503,0.209,0.009105,0.209,0.011065,0.209,0.012925,0.209,0.0165,0.209,0.020025
0.21,0.0016225,0.21,0.002842,0.21,0.00508,0.21,0.00917,0.21,0.0111,0.21,0.01304,0.21,0.016525,0.21,0.0201
0.211,0.001641,0.211,0.002871,0.211,0.00509,0.211,0.0093,0.211,0.01118,0.211,0.01315,0.211,0.01693,0.211,0.02035
0.212,0.0016585,0.212,0.002892,0.212,0.005175,0.212,0.009375,0.212,0.011395,0.212,0.01322,0.212,0.017,0.212,0.02062
0.213,0.0016635,0.213,0.002923,0.213,0.00517,0.213,0.00946,0.213,0.011385,0.213,0.01342,0.213,0.0171,0.213,0.020635
0.214,0.001678,0.214,0.002917,0.214,0.00523,0.214,0.009505,0.214,0.01145,0.214,0.01338,0.214,0.01722,0.214,0.020815
0.215,0.001696,0.215,0.002984,0.215,0.00528,0.215,0.0097,0.215,0.011755,0.215,0.01379,0.215,0.017435,0.215,0.02119
0.216,0.0016995,0.216,0.0029965,0.216,0.00533,0.216,0.00968,0.216,0.011645,0.216,0.013655,0.216,0.01758,0.216,0.021345
0.217,0.0017155,0.217,0.0029985,0.217,0.00538,0.217,0.009755,0.217,0.01188,0.217,0.01378,0.217,0.01769,0.217,0.021415
0.218,0.0017365,0.218,0.003046,0.218,0.005405,0.218,0.00981,0.218,0.0119,0.218,0.014,0.218,0.017875,0.218,0.021595
0.219,0.001747,0.219,0.0030715,0.219,0.005455,0.219,0.010025,0.219,0.01212,0.219,0.01417,0.219,0.01811,0.219,0.022005
0.22,0.0017745,0.22,0.0031,0.22,0.005545,0.22,0.010115,0.22,0.01219,0.22,0.01425,0.22,0.018295,0.22,0.02215
0.221,0.0017835,0.221,0.003131,0.221,0.00557,0.221,0.010115,0.221,0.01228,0.221,0.0144,0.221,0.01842,0.221,0.02228
0.222,0.001794,0.222,0.0031495,0.222,0.00562,0.222,0.010215,0.222,0.012395,0.222,0.014485,0.222,0.018595,0.222,0.02261
0.223,0.001828,0.223,0.0031875,0.223,0.005695,0.223,0.010465,0.223,0.01261,0.223,0.014835,0.223,0.01885,0.223,0.02294
0.224,0.001829,0.224,0.003198,0.224,0.005725,0.224,0.010395,0.224,0.0126,0.224,0.014745,0.224,0.01902,0.224,0.022935
0.225,0.001854,0.225,0.0032475,0.225,0.0058,0.225,0.010565,0.225,0.01286,0.225,0.01498,0.225,0.019295,0.225,0.023255
0.226,0.001858,0.226,0.0032715,0.226,0.00585,0.226,0.010635,0.226,0.01291,0.226,0.015155,0.226,0.019345,0.226,0.02353
0.227,0.001882,0.227,0.0032985,0.227,0.00588,0.227,0.01079,0.227,0.013095,0.227,0.01536,0.227,0.019595,0.227,0.023645
0.228,0.0018975,0.228,0.003341,0.228,0.005955,0.228,0.0109,0.228,0.013165,0.228,0.01546,0.228,0.019765,0.228,0.024035
0.229,0.001921,0.229,0.003363,0.229,0.005995,0.229,0.01097,0.229,0.013295,0.229,0.015705,0.229,0.02007,0.229,0.024415
0.23,0.0019405,0.23,0.003415,0.23,0.006115,0.23,0.01115,0.23,0.013515,0.23,0.015835,0.23,0.02031,0.23,0.02457
0.231,0.001964,0.231,0.003444,0.231,0.00619,0.231,0.01129,0.231,0.01368,0.231,0.016055,0.231,0.020475,0.231,0.024905
0.232,0.0019685,0.232,0.0034635,0.232,0.0062,0.232,0.011325,0.232,0.013745,0.232,0.016005,0.232,0.02067,0.232,0.02505
0.233,0.0019955,0.233,0.003496,0.233,0.006255,0.233,0.011475,0.233,0.013885,0.233,0.01626,0.233,0.02083,0.233,0.025475
0.234,0.0019945,0.234,0.003543,0.234,0.00631,0.234,0.01157,0.234,0.01402,0.234,0.01648,0.234,0.021165,0.234,0.025425
0.235,0.0020355,0.235,0.0035805,0.235,0.0064,0.235,0.011705,0.235,0.014185,0.235,0.01668,0.235,0.021365,0.235,0.025915
0.236,0.00205,0.236,0.0036245,0.236,0.006445,0.236,0.01181,0.236,0.01434,0.236,0.016875,0.236,0.02169,0.236,0.0263
0.237,0.002073,0.237,0.003652,0.237,0.00651,0.237,0.01195,0.237,0.014565,0.237,0.01702,0.237,0.021795,0.237,0.026405
0.238,0.002081,0.238,0.0036835,0.238,0.00658,0.238,0.012015,0.238,0.01457,0.238,0.01706,0.238,0.02208,0.238,0.026675
0.239,0.002128,0.239,0.003748,0.239,0.006675,0.239,0.012355,0.239,0.014955,0.239,0.017595,0.239,0.02241,0.239,0.027225
0.24,0.002122,0.24,0.0037525,0.24,0.00671,0.24,0.01224,0.24,0.01493,0.24,0.017465,0.24,0.02242,0.24,0.027215
0.241,0.002158,0.241,0.003803,0.241,0.006805,0.241,0.012485,0.241,0.0152,0.241,0.01784,0.241,0.022855,0.241,0.027745
0.242,0.002183,0.242,0.0038505,0.242,0.006885,0.242,0.01258,0.242,0.015345,0.242,0.017975,0.242,0.02305,0.242,0.028005
0.243,0.002192,0.243,0.003867,0.243,0.006935,0.243,0.012715,0.243,0.015315,0.243,0.01815,0.243,0.02315,0.243,0.028145
0.244,0.002231,0.244,0.0039205,0.244,0.00704,0.244,0.01289,0.244,0.01571,0.244,0.018285,0.244,0.02359,0.244,0.02866
0.245,0.0022505,0.245,0.003952,0.245,0.007095,0.245,0.01303,0.245,0.01582,0.245,0.018585,0.245,0.02387,0.245,0.02897
