Source file,Ni_foil_EIS 0.768 V.txt
Working area (cm^2),2

Frequency (Hz),Z' (ohm cm^2),-Z'' (ohm cm^2),Z (ohm cm^2),Phase (deg)
999000.0,6.772,-1.2872,6.892,10.8
825200.0,6.366,-1.119,6.462,10.0
681600.0,6.068,-1.1332,6.172,10.6
562500.0,5.828,-1.0634,5.924,10.3
463900.0,5.65,-1.0798,5.752,10.8
382800.0,5.474,-1.092,5.582,11.3
316400.0,5.292,-1.1272,5.41,12.0
260700.0,5.09,-1.1364,5.216,12.6
215800.0,4.668,-0.8302,4.742,10.1
177700.0,4.166,-0.3206,4.178,4.4
146500.0,3.886,0.003818,3.886,-0.1
121100.0,3.784,0.14678,3.786,-2.2
99610.0,3.804,0.14644,3.808,-2.2
82520.0,3.85,0.10922,3.85,-1.6
68120.0,3.886,0.07076,3.886,-1.0
56150.0,3.9,0.05668,3.9,-0.8
46390.0,3.902,0.05592,3.902,-0.8
38330.0,3.9,0.06194,3.9,-0.9
31740.0,3.9,0.06878,3.9,-1.0
26120.0,3.902,0.07614,3.904,-1.1
21480.0,3.908,0.08394,3.908,-1.2
17820.0,3.914,0.0925,3.914,-1.4
14650.0,3.92,0.10154,3.922,-1.5
12210.0,3.926,0.11316,3.928,-1.7
10010.0,3.934,0.13008,3.936,-1.9
8301.0,3.942,0.15096,3.946,-2.2
6836.0,3.952,0.17356,3.956,-2.5
5615.0,3.962,0.19792,3.968,-2.9
4639.0,3.974,0.2246,3.98,-3.2
3906.0,3.988,0.256,3.996,-3.7
3174.0,4.002,0.2926,4.014,-4.2
2686.0,4.02,0.335,4.034,-4.8
2197.0,4.044,0.3908,4.062,-5.5
1709.0,4.07,0.455,4.096,-6.4
1465.0,4.102,0.5228,4.134,-7.3
1221.0,4.14,0.604,4.184,-8.3
976.6,4.192,0.696,4.25,-9.4
825.2,4.258,0.7988,4.332,-10.6
683.6,4.33,0.92,4.428,-12.0
561.5,4.418,1.062,4.544,-13.5
463.9,4.524,1.2262,4.686,-15.2
380.9,4.654,1.4086,4.864,-16.8
317.4,4.822,1.609,5.084,-18.5
258.8,5.036,1.822,5.356,-19.9
214.8,5.304,2.038,5.682,-21.0
175.8,5.628,2.242,6.058,-21.7
146.5,5.996,2.41,6.462,-21.9
122.1,6.43,2.532,6.91,-21.5
97.66,6.89,2.564,7.352,-20.4
82.54,7.336,2.504,7.752,-18.8
68.13,7.76,2.382,8.118,-17.1
56.23,8.14,2.212,8.436,-15.2
46.42,8.472,2.018,8.71,-13.4
38.31,8.75,1.806,8.934,-11.7
31.62,8.97,1.5912,9.11,-10.1
26.1,9.142,1.3836,9.246,-8.6
21.54,9.274,1.1914,9.35,-7.3
17.78,9.374,1.018,9.43,-6.2
14.68,9.448,0.8674,9.488,-5.2
12.12,9.506,0.7386,9.536,-4.4
10.0,9.544,0.6234,9.566,-3.7
8.254,9.572,0.5278,9.586,-3.2
6.813,9.598,0.454,9.61,-2.7
5.623,9.616,0.3912,9.624,-2.3
4.642,9.638,0.335,9.644,-2.0
3.831,9.658,0.2822,9.662,-1.7
3.162,9.664,0.2436,9.668,-1.4
2.61,9.674,0.2228,9.678,-1.3
2.154,9.672,0.19786,9.674,-1.2
1.778,9.668,0.17238,9.67,-1.0
1.468,9.676,0.16992,9.678,-1.0
1.212,9.676,0.16746,9.678,-1.0
1.0,9.676,0.15214,9.678,-0.9
