Source file,Ni_foil_LSV 2.3 ohm.txt
Reference electrode potential (V vs. RHE),
Working area (cm^2),2

Point,Original Potential (V),Original Current (mA),"Potential (V, iR-corrected)",Current density / mA cm^-2
1,0.0,-0.007889,0.0,-0.0039445
2,0.001,-0.007108000000000001,0.001,-0.0035540000000000003
3,0.002,-0.006796,0.002,-0.003398
4,0.003,-0.006717,0.003,-0.0033585
5,0.004,-0.006874,0.004,-0.003437
6,0.005,-0.006796,0.005,-0.003398
7,0.006,-0.006874,0.006,-0.003437
8,0.007,-0.0073420000000000004,0.007,-0.0036710000000000002
9,0.008,-0.0071860000000000005,0.008,-0.0035930000000000003
10,0.009,-0.0071860000000000005,0.009,-0.0035930000000000003
11,0.01,-0.00703,0.01,-0.003515
12,0.011,-0.007108000000000001,0.011,-0.0035540000000000003
13,0.012,-0.0073420000000000004,0.012,-0.0036710000000000002
14,0.013,-0.00703,0.013,-0.003515
15,0.014,-0.007108000000000001,0.014,-0.0035540000000000003
16,0.015,-0.0073420000000000004,0.015,-0.0036710000000000002
17,0.016,-0.0075769999999999995,0.016,-0.0037884999999999998
18,0.017,-0.00742,0.017,-0.00371
19,0.018,-0.006952,0.018,-0.003476
20,0.019,-0.0071860000000000005,0.019,-0.0035930000000000003
21,0.02,-0.007499,0.02,-0.0037495
22,0.021,-0.007108000000000001,0.021,-0.0035540000000000003
23,0.022,-0.006796,0.022,-0.003398
24,0.023,-0.0073420000000000004,0.023,-0.0036710000000000002
25,0.024,-0.0072640000000000005,0.024,-0.0036320000000000002
26,0.025,-0.00742,0.025,-0.00371
27,0.026,-0.007499,0.026,-0.0037495
28,0.027,-0.00742,0.027,-0.00371
29,0.028,-0.00742,0.028,-0.00371
30,0.029,-0.0073420000000000004,0.029,-0.0036710000000000002
31,0.03,-0.00742,0.03,-0.00371
32,0.031,-0.007499,0.031,-0.0037495
33,0.032,-0.007499,0.032,-0.0037495
34,0.033,-0.007655,0.033,-0.0038275
35,0.034,-0.007108000000000001,0.034,-0.0035540000000000003
36,0.035,-0.007733,0.035,-0.0038665
37,0.036,-0.0075769999999999995,0.036,-0.0037884999999999998
38,0.037,-0.0072640000000000005,0.037,-0.0036320000000000002
39,0.038,-0.0071860000000000005,0.038,-0.0035930000000000003
40,0.039,-0.0072640000000000005,0.039,-0.0036320000000000002
41,0.04,-0.007733,0.04,-0.0038665
42,0.041,-0.0075769999999999995,0.041,-0.0037884999999999998
43,0.042,-0.007499,0.042,-0.0037495
44,0.043,-0.007108000000000001,0.043,-0.0035540000000000003
45,0.044,-0.006874,0.044,-0.003437
46,0.045,-0.0071860000000000005,0.045,-0.0035930000000000003
47,0.046,-0.0071860000000000005,0.046,-0.0035930000000000003
48,0.047,-0.007108000000000001,0.047,-0.0035540000000000003
49,0.048,-0.0073420000000000004,0.048,-0.0036710000000000002
50,0.049,-0.007811,0.049,-0.0039055
51,0.05,-0.0073420000000000004,0.05,-0.0036710000000000002
52,0.051,-0.007889,0.051,-0.0039445
53,0.052,-0.0075769999999999995,0.052,-0.0037884999999999998
54,0.053,-0.00742,0.053,-0.00371
55,0.054,-0.007499,0.054,-0.0037495
56,0.055,-0.007499,0.055,-0.0037495
57,0.056,-0.007811,0.056,-0.0039055
58,0.057,-0.0075769999999999995,0.057,-0.0037884999999999998
59,0.058,-0.007499,0.058,-0.0037495
60,0.059,-0.007499,0.059,-0.0037495
61,0.06,-0.00742,0.06,-0.00371
62,0.061,-0.007811,0.061,-0.0039055
63,0.062,-0.008045,0.062,-0.0040225
64,0.063,-0.007889,0.063,-0.0039445
65,0.064,-0.007889,0.064,-0.0039445
66,0.065,-0.007733,0.065,-0.0038665
67,0.066,-0.007108000000000001,0.066,-0.0035540000000000003
68,0.067,-0.007108000000000001,0.067,-0.0035540000000000003
69,0.068,-0.0071860000000000005,0.068,-0.0035930000000000003
70,0.069,-0.0071860000000000005,0.069,-0.0035930000000000003
71,0.07,-0.006796,0.07,-0.003398
72,0.071,-0.0071860000000000005,0.071,-0.0035930000000000003
73,0.072,-0.007499,0.072,-0.0037495
74,0.073,-0.00742,0.073,-0.00371
75,0.074,-0.0075769999999999995,0.074,-0.0037884999999999998
76,0.075,-0.006952,0.075,-0.003476
77,0.076,-0.007655,0.076,-0.0038275
78,0.077,-0.007733,0.077,-0.0038665
79,0.078,-0.007889,0.078,-0.0039445
80,0.079,-0.007655,0.079,-0.0038275
81,0.08,-0.0073420000000000004,0.08,-0.0036710000000000002
82,0.081,-0.007499,0.081,-0.0037495
83,0.082,-0.00742,0.082,-0.00371
84,0.083,-0.00742,0.083,-0.00371
85,0.084,-0.00742,0.084,-0.00371
86,0.085,-0.007655,0.085,-0.0038275
87,0.086,-0.0071860000000000005,0.086,-0.0035930000000000003
88,0.087,-0.007108000000000001,0.087,-0.0035540000000000003
89,0.088,-0.0075769999999999995,0.088,-0.0037884999999999998
90,0.089,-0.007499,0.089,-0.0037495
91,0.09,-0.007889,0.09,-0.0039445
92,0.091,-0.007499,0.091,-0.0037495
93,0.092,-0.007499,0.092,-0.0037495
94,0.093,-0.007655,0.093,-0.0038275
95,0.094,-0.00742,0.094,-0.00371
96,0.095,-0.0073420000000000004,0.095,-0.0036710000000000002
97,0.096,-0.008123,0.096,-0.0040615
98,0.097,-0.007499,0.097,-0.0037495
99,0.098,-0.0072640000000000005,0.098,-0.0036320000000000002
100,0.099,-0.00703,0.099,-0.003515
101,0.1,-0.007499,0.1,-0.0037495
102,0.101,-0.0073420000000000004,0.101,-0.0036710000000000002
103,0.102,-0.00742,0.102,-0.00371
104,0.103,-0.0075769999999999995,0.103,-0.0037884999999999998
105,0.104,-0.0073420000000000004,0.104,-0.0036710000000000002
106,0.105,-0.006874,0.105,-0.003437
107,0.106,-0.00742,0.106,-0.00371
108,0.107,-0.0073420000000000004,0.107,-0.0036710000000000002
109,0.108,-0.007499,0.108,-0.0037495
110,0.109,-0.006952,0.109,-0.003476
111,0.11,-0.00742,0.11,-0.00371
112,0.111,-0.0073420000000000004,0.111,-0.0036710000000000002
113,0.112,-0.0071860000000000005,0.112,-0.0035930000000000003
114,0.113,-0.0073420000000000004,0.113,-0.0036710000000000002
115,0.114,-0.007108000000000001,0.114,-0.0035540000000000003
116,0.115,-0.0072640000000000005,0.115,-0.0036320000000000002
117,0.116,-0.0071860000000000005,0.116,-0.0035930000000000003
118,0.117,-0.007108000000000001,0.117,-0.0035540000000000003
119,0.118,-0.006874,0.118,-0.003437
120,0.119,-0.00703,0.119,-0.003515
121,0.12,-0.006717,0.12,-0.0033585
122,0.121,-0.006952,0.121,-0.003476
123,0.122,-0.00703,0.122,-0.003515
124,0.123,-0.0072640000000000005,0.123,-0.0036320000000000002
125,0.124,-0.00703,0.124,-0.003515
126,0.125,-0.006639,0.125,-0.0033195
127,0.126,-0.006796,0.126,-0.003398
128,0.127,-0.0071860000000000005,0.127,-0.0035930000000000003
129,0.128,-0.006952,0.128,-0.003476
130,0.129,-0.006952,0.129,-0.003476
131,0.13,-0.0071860000000000005,0.13,-0.0035930000000000003
132,0.131,-0.006796,0.131,-0.003398
133,0.132,-0.006404999999999999,0.132,-0.0032024999999999996
134,0.133,-0.006874,0.133,-0.003437
135,0.134,-0.006796,0.134,-0.003398
136,0.135,-0.006796,0.135,-0.003398
137,0.136,-0.006952,0.136,-0.003476
138,0.137,-0.006717,0.137,-0.0033585
139,0.138,-0.006874,0.138,-0.003437
140,0.139,-0.006639,0.139,-0.0033195
141,0.14,-0.006874,0.14,-0.003437
142,0.141,-0.006796,0.141,-0.003398
143,0.142,-0.006796,0.142,-0.003398
144,0.143,-0.006561,0.143,-0.0032805
145,0.144,-0.006561,0.144,-0.0032805
146,0.145,-0.006249,0.145,-0.0031245
147,0.146,-0.006014,0.146,-0.003007
148,0.147,-0.006014,0.147,-0.003007
149,0.148,-0.006327,0.148,-0.0031635
150,0.149,-0.006482999999999999,0.149,-0.0032414999999999996
151,0.15,-0.006561,0.15,-0.0032805
152,0.151,-0.006796,0.151,-0.003398
153,0.152,-0.006327,0.152,-0.0031635
154,0.153,-0.006482999999999999,0.153,-0.0032414999999999996
155,0.154,-0.006952,0.154,-0.003476
156,0.155,-0.007108000000000001,0.155,-0.0035540000000000003
157,0.156,-0.006561,0.156,-0.0032805
158,0.157,-0.006796,0.157,-0.003398
159,0.158,-0.006796,0.158,-0.003398
160,0.159,-0.006874,0.159,-0.003437
161,0.16,-0.006874,0.16,-0.003437
162,0.161,-0.006874,0.161,-0.003437
163,0.162,-0.006874,0.162,-0.003437
164,0.163,-0.006639,0.163,-0.0033195
165,0.164,-0.006717,0.164,-0.0033585
166,0.165,-0.006874,0.165,-0.003437
167,0.166,-0.006482999999999999,0.166,-0.0032414999999999996
168,0.167,-0.006717,0.167,-0.0033585
169,0.168,-0.006796,0.168,-0.003398
170,0.169,-0.006482999999999999,0.169,-0.0032414999999999996
171,0.17,-0.006639,0.17,-0.0033195
172,0.171,-0.006561,0.171,-0.0032805
173,0.172,-0.006171,0.172,-0.0030855
174,0.173,-0.006482999999999999,0.173,-0.0032414999999999996
175,0.174,-0.006639,0.174,-0.0033195
176,0.175,-0.006327,0.175,-0.0031635
177,0.176,-0.006796,0.176,-0.003398
178,0.177,-0.006482999999999999,0.177,-0.0032414999999999996
179,0.178,-0.006561,0.178,-0.0032805
180,0.179,-0.006561,0.179,-0.0032805
181,0.18,-0.00703,0.18,-0.003515
182,0.181,-0.006482999999999999,0.181,-0.0032414999999999996
183,0.182,-0.006561,0.182,-0.0032805
