Source file,Ni_foil_LSV 2.3 ohm.txt
Reference electrode potential (V vs. RHE),
Equilibrium potential (V vs. RHE),1.23
Working area (cm^2),2

Point,Corrected potential (V),Current density (mA/cm^2),log10(|j| / mA cm^-2),Overpotential (V)
1,0.0,-0.0039445,-2.404008039603618,-1.23
2,0.001,-0.0035540000000000003,-2.449282576530717,-1.229
3,0.002,-0.003398,-2.4687766254669734,-1.228
4,0.003,-0.0033585,-2.4738546473652887,-1.227
5,0.004,-0.003437,-2.463820467862775,-1.226
6,0.005,-0.003398,-2.4687766254669734,-1.225
7,0.006,-0.003437,-2.463820467862775,-1.224
8,0.007,-0.0036710000000000002,-2.435215615496013,-1.223
9,0.008,-0.0035930000000000003,-2.4445427827953505,-1.222
10,0.009,-0.0035930000000000003,-2.4445427827953505,-1.221
11,0.01,-0.003515,-2.4540746706441574,-1.22
12,0.011,-0.0035540000000000003,-2.449282576530717,-1.219
13,0.012,-0.0036710000000000002,-2.435215615496013,-1.218
14,0.013,-0.003515,-2.4540746706441574,-1.217
15,0.014,-0.0035540000000000003,-2.449282576530717,-1.216
16,0.015,-0.0036710000000000002,-2.435215615496013,-1.215
17,0.016,-0.0037884999999999998,-2.421532708414553,-1.214
18,0.017,-0.00371,-2.430626090384954,-1.213
19,0.018,-0.003476,-2.458920232223371,-1.212
20,0.019,-0.0035930000000000003,-2.4445427827953505,-1.211
21,0.02,-0.0037495,-2.42602664206394,-1.21
22,0.021,-0.0035540000000000003,-2.449282576530717,-1.209
23,0.022,-0.003398,-2.4687766254669734,-1.208
24,0.023,-0.0036710000000000002,-2.435215615496013,-1.207
25,0.024,-0.0036320000000000002,-2.4398541601509525,-1.206
26,0.025,-0.00371,-2.430626090384954,-1.205
27,0.026,-0.0037495,-2.42602664206394,-1.204
28,0.027,-0.00371,-2.430626090384954,-1.203
29,0.028,-0.00371,-2.430626090384954,-1.202
30,0.029,-0.0036710000000000002,-2.435215615496013,-1.201
31,0.03,-0.00371,-2.430626090384954,-1.2
32,0.031,-0.0037495,-2.42602664206394,-1.199
33,0.032,-0.0037495,-2.42602664206394,-1.198
34,0.033,-0.0038275,-2.417084800629701,-1.197
35,0.034,-0.0035540000000000003,-2.449282576530717,-1.196
36,0.035,-0.0038665,-2.412681985485932,-1.195
37,0.036,-0.0037884999999999998,-2.421532708414553,-1.194
38,0.037,-0.0036320000000000002,-2.4398541601509525,-1.193
39,0.038,-0.0035930000000000003,-2.4445427827953505,-1.192
40,0.039,-0.0036320000000000002,-2.4398541601509525,-1.191
41,0.04,-0.0038665,-2.412681985485932,-1.19
42,0.041,-0.0037884999999999998,-2.421532708414553,-1.189
43,0.042,-0.0037495,-2.42602664206394,-1.188
44,0.043,-0.0035540000000000003,-2.449282576530717,-1.187
45,0.044,-0.003437,-2.463820467862775,-1.186
46,0.045,-0.0035930000000000003,-2.4445427827953505,-1.185
47,0.046,-0.0035930000000000003,-2.4445427827953505,-1.184
48,0.047,-0.0035540000000000003,-2.449282576530717,-1.183
49,0.048,-0.0036710000000000002,-2.435215615496013,-1.182
50,0.049,-0.0039055,-2.4083233578583156,-1.181
51,0.05,-0.0036710000000000002,-2.435215615496013,-1.18
52,0.051,-0.0039445,-2.404008039603618,-1.179
53,0.052,-0.0037884999999999998,-2.421532708414553,-1.178
54,0.053,-0.00371,-2.430626090384954,-1.177
55,0.054,-0.0037495,-2.42602664206394,-1.176
56,0.055,-0.0037495,-2.42602664206394,-1.175
57,0.056,-0.0039055,-2.4083233578583156,-1.174
58,0.057,-0.0037884999999999998,-2.421532708414553,-1.173
59,0.058,-0.0037495,-2.42602664206394,-1.172
60,0.059,-0.0037495,-2.42602664206394,-1.171
61,0.06,-0.00371,-2.430626090384954,-1.17
62,0.061,-0.0039055,-2.4083233578583156,-1.169
63,0.062,-0.0040225,-2.395503947228933,-1.168
64,0.063,-0.0039445,-2.404008039603618,-1.167
65,0.064,-0.0039445,-2.404008039603618,-1.166
