Mode,Amperometric i-t Curve,
Applied current (A),,
Applied potential (V),0.768,
Time (s),1800,
Reference electrode potential (V vs. RHE),,
Working area (cm^2),2,
Applied current density (mA/cm^2),,
Solution resistance (ohm),,Compensation level (%)
,,
Time,Original Current,Current density
sec,A,mA/cm²
0.1,0.01438,7.19
0.2,0.01435,7.175
0.3,0.01432,7.16
0.4,0.01429,7.145
0.5,0.01427,7.135
0.6,0.01423,7.115
0.7,0.01421,7.105
0.8,0.0142,7.1
0.9,0.01417,7.085
1,0.01414,7.07
1.1,0.01412,7.06
1.2,0.01409,7.045
1.3,0.01407,7.035
1.4,0.01406,7.03
1.5,0.01404,7.02
1.6,0.01402,7.01
1.7,0.01399,6.995
1.8,0.01397,6.985
1.9,0.01396,6.98
2,0.01395,6.975
2.1,0.01393,6.965
2.2,0.0139,6.95
2.3,0.01389,6.945
2.4,0.01388,6.94
2.5,0.01386,6.93
2.6,0.01384,6.92
2.7,0.01383,6.915
2.8,0.01382,6.91
2.9,0.0138,6.9
3,0.01378,6.89
3.1,0.01378,6.89
3.2,0.01376,6.88
3.3,0.01374,6.87
3.4,0.01373,6.865
3.5,0.01372,6.86
3.6,0.0137,6.85
3.7,0.01369,6.845
3.8,0.01368,6.84
3.9,0.01366,6.83
4,0.01365,6.825
4.1,0.01363,6.815
4.2,0.01363,6.815
4.3,0.01363,6.815
4.4,0.0136,6.8
4.5,0.01359,6.795
4.6,0.01358,6.79
4.7,0.01357,6.785
4.8,0.01356,6.78
4.9,0.01355,6.775
5,0.01354,6.77
5.1,0.01353,6.765
5.2,0.01351,6.755
5.3,0.0135,6.75
5.4,0.01349,6.745
5.5,0.01349,6.745
5.6,0.01347,6.735
5.7,0.01346,6.73
5.8,0.01346,6.73
5.9,0.01346,6.73
6,0.01344,6.72
6.1,0.01344,6.72
6.2,0.01342,6.71
6.3,0.0134,6.7
6.4,0.0134,6.7
6.5,0.01339,6.695
6.6,0.01338,6.69
6.7,0.01337,6.685
6.8,0.01336,6.68
6.9,0.01336,6.68
7,0.01335,6.675
7.1,0.01335,6.675
7.2,0.01334,6.67
7.3,0.01332,6.66
7.4,0.0133,6.65
7.5,0.0133,6.65
7.6,0.01331,6.655
7.7,0.0133,6.65
7.8,0.01329,6.645
7.9,0.01326,6.63
8,0.01327,6.635
8.1,0.01325,6.625
8.2,0.01324,6.62
8.3,0.01324,6.62
8.4,0.01324,6.62
8.5,0.01322,6.61
8.6,0.01322,6.61
8.7,0.01321,6.605
8.8,0.01321,6.605
8.9,0.0132,6.6
9,0.01319,6.595
9.1,0.01318,6.59
9.2,0.01319,6.595
9.3,0.01317,6.585
9.4,0.01317,6.585
9.5,0.01316,6.58
9.6,0.01316,6.58
9.7,0.01315,6.575
9.8,0.01315,6.575
9.9,0.01314,6.57
10,0.01313,6.565
10.1,0.01312,6.56
10.2,0.01311,6.555
10.3,0.0131,6.55
10.4,0.0131,6.55
10.5,0.0131,6.55
10.6,0.01309,6.545
10.7,0.01309,6.545
10.8,0.01308,6.54
10.9,0.01308,6.54
11,0.01307,6.535
11.1,0.01307,6.535
11.2,0.01305,6.525
11.3,0.01305,6.525
11.4,0.01304,6.52
11.5,0.01303,6.515
11.6,0.01303,6.515
11.7,0.01303,6.515
11.8,0.01302,6.51
11.9,0.01301,6.505
12,0.013,6.5
12.1,0.013,6.5
12.2,0.01299,6.495
12.3,0.01299,6.495
12.4,0.01299,6.495
12.5,0.01298,6.49
12.6,0.01297,6.485
12.7,0.01297,6.485
12.8,0.01296,6.48
12.9,0.01296,6.48
13,0.01295,6.475
13.1,0.01295,6.475
13.2,0.01294,6.47
13.3,0.01293,6.465
13.4,0.01293,6.465
13.5,0.01293,6.465
13.6,0.01293,6.465
13.7,0.01292,6.46
13.8,0.01291,6.455
13.9,0.01292,6.46
14,0.01292,6.46
14.1,0.0129,6.45
14.2,0.01289,6.445
14.3,0.01289,6.445
14.4,0.01288,6.44
14.5,0.01288,6.44
14.6,0.01287,6.435
14.7,0.01287,6.435
14.8,0.01287,6.435
14.9,0.01288,6.44
15,0.01286,6.43
15.1,0.01286,6.43
15.2,0.01286,6.43
15.3,0.01285,6.425
15.4,0.01285,6.425
15.5,0.01284,6.42
15.6,0.01283,6.415
15.7,0.01283,6.415
15.8,0.01283,6.415
15.9,0.01282,6.41
16,0.01283,6.415
16.1,0.01282,6.41
16.2,0.01281,6.405
16.3,0.0128,6.4
16.4,0.0128,6.4
16.5,0.01281,6.405
16.6,0.01281,6.405
16.7,0.01279,6.395
16.8,0.01278,6.39
16.9,0.01278,6.39
17,0.01278,6.39
17.1,0.01278,6.39
17.2,0.01277,6.385
17.3,0.01277,6.385
17.4,0.01277,6.385
17.5,0.01276,6.38
17.6,0.01275,6.375
17.7,0.01276,6.38
17.8,0.01275,6.375
17.9,0.01276,6.38
18,0.01275,6.375
18.1,0.01274,6.37
18.2,0.01273,6.365
18.3,0.01272,6.36
18.4,0.01272,6.36
18.5,0.01272,6.36
18.6,0.01272,6.36
18.7,0.01271,6.355
18.8,0.01271,6.355
18.9,0.01271,6.355
19,0.0127,6.35
19.1,0.01269,6.345
