Mode,Chronopotentiometry,,
Applied current (A),0.02,,
Applied potential (V),,,
Time (s),1800,,
Reference electrode potential (V vs. RHE),0.929,,
Working area (cm^2),2,,
Applied current density (mA/cm^2),10,,
Solution resistance (ohm),2.3,Compensation level (%),0
,,,
Time,Original Potential,Potential,
sec,V,"V vs. RHE, iR-corrected",
0.1,0.5983,1.5273,
0.2,0.7553,1.6843,
0.3,0.7628,1.6918,
0.4,0.7645,1.6935,
0.5,0.7655,1.6945,
0.6,0.7662,1.6952,
0.7,0.7666,1.6956,
0.8,0.767,1.696,
0.9,0.7673,1.6963,
1,0.7676,1.6966,
1.1,0.7678,1.6968,
1.2,0.7681,1.6971,
1.3,0.7683,1.6973,
1.4,0.7685,1.6975,
1.5,0.7687,1.6977,
1.6,0.7689,1.6979,
1.7,0.7691,1.6981,
1.8,0.7692,1.6982,
1.9,0.7693,1.6983,
2,0.7695,1.6985,
2.1,0.7697,1.6987,
2.2,0.7699,1.6989,
2.3,0.77,1.699,
2.4,0.7701,1.6991,
2.5,0.7703,1.6993,
2.6,0.7705,1.6995,
2.7,0.7707,1.6997,
2.8,0.7708,1.6998,
2.9,0.7709,1.6999,
3,0.7709,1.6999,
3.1,0.771,1.7,
3.2,0.7711,1.7001,
3.3,0.7712,1.7002,
3.4,0.7712,1.7002,
3.5,0.7713,1.7003,
3.6,0.7714,1.7004,
3.7,0.7714,1.7004,
3.8,0.7716,1.7006,
3.9,0.7716,1.7006,
4,0.7717,1.7007,
4.1,0.7717,1.7007,
4.2,0.7718,1.7008,
4.3,0.7719,1.7009,
4.4,0.772,1.701,
4.5,0.7721,1.7011,
4.6,0.7721,1.7011,
4.7,0.7721,1.7011,
4.8,0.7723,1.7013,
4.9,0.7723,1.7013,
5,0.7724,1.7014,
5.1,0.7725,1.7015,
5.2,0.7726,1.7016,
5.3,0.7726,1.7016,
5.4,0.7726,1.7016,
5.5,0.7728,1.7018,
5.6,0.7729,1.7019,
5.7,0.7729,1.7019,
5.8,0.7729,1.7019,
5.9,0.773,1.702,
6,0.7731,1.7021,
6.1,0.7732,1.7022,
6.2,0.7733,1.7023,
6.3,0.7733,1.7023,
6.4,0.7733,1.7023,
6.5,0.7733,1.7023,
6.6,0.7733,1.7023,
6.7,0.7735,1.7025,
6.8,0.7735,1.7025,
6.9,0.7735,1.7025,
7,0.7736,1.7026,
7.1,0.7737,1.7027,
7.2,0.7737,1.7027,
7.3,0.7737,1.7027,
7.4,0.7738,1.7028,
7.5,0.7739,1.7029,
7.6,0.774,1.703,
7.7,0.774,1.703,
7.8,0.774,1.703,
7.9,0.774,1.703,
8,0.774,1.703,
8.1,0.7741,1.7031,
8.2,0.7742,1.7032,
8.3,0.7743,1.7033,
8.4,0.7743,1.7033,
8.5,0.7743,1.7033,
8.6,0.7744,1.7034,
8.7,0.7744,1.7034,
8.8,0.7745,1.7035,
8.9,0.7745,1.7035,
9,0.7745,1.7035,
9.1,0.7746,1.7036,
9.2,0.7747,1.7037,
9.3,0.7747,1.7037,
9.4,0.7747,1.7037,
9.5,0.7747,1.7037,
9.6,0.7748,1.7038,
9.7,0.7749,1.7039,
9.8,0.7749,1.7039,
9.9,0.775,1.704,
10,0.7749,1.7039,
10.1,0.775,1.704,
10.2,0.7751,1.7041,
10.3,0.7751,1.7041,
10.4,0.7752,1.7042,
10.5,0.7752,1.7042,
10.6,0.7751,1.7041,
10.7,0.7752,1.7042,
10.8,0.7753,1.7043,
10.9,0.7753,1.7043,
11,0.7753,1.7043,
11.1,0.7754,1.7044,
11.2,0.7754,1.7044,
11.3,0.7756,1.7046,
11.4,0.7755,1.7045,
11.5,0.7755,1.7045,
11.6,0.7756,1.7046,
11.7,0.7757,1.7047,
11.8,0.7757,1.7047,
11.9,0.7757,1.7047,
12,0.7758,1.7048,
12.1,0.7757,1.7047,
12.2,0.7758,1.7048,
12.3,0.7758,1.7048,
12.4,0.7759,1.7049,
12.5,0.7759,1.7049,
12.6,0.7759,1.7049,
12.7,0.776,1.705,
12.8,0.776,1.705,
12.9,0.776,1.705,
13,0.776,1.705,
13.1,0.776,1.705,
13.2,0.776,1.705,
13.3,0.7761,1.7051,
13.4,0.7761,1.7051,
13.5,0.7762,1.7052,
13.6,0.7763,1.7053,
13.7,0.7762,1.7052,
13.8,0.7762,1.7052,
13.9,0.7762,1.7052,
14,0.7763,1.7053,
14.1,0.7763,1.7053,
14.2,0.7764,1.7054,
14.3,0.7765,1.7055,
14.4,0.7764,1.7054,
14.5,0.7765,1.7055,
14.6,0.7765,1.7055,
14.7,0.7765,1.7055,
14.8,0.7765,1.7055,
