Potential,Current density,Potential,Current density,Potential,Current density,Potential,Current density,Potential,Current density,Potential,Current density,Potential,Current density,Potential,Current density
V,mA/cm�,V,mA/cm�,V,mA/cm�,V,mA/cm�,V,mA/cm�,V,mA/cm�,V,mA/cm�,V,mA/cm�
10 mV/s,10 mV/s,20 mV/s,20 mV/s,40 mV/s,40 mV/s,80 mV/s,80 mV/s,100 mV/s,100 mV/s,120 mV/s,120 mV/s,160 mV/s,160 mV/s,200 mV/s,200 mV/s
0.15,-0.00016285,0.15,-0.00044365,0.15,-0.002072,0.15,-0.0018275,0.15,-0.002788,0.15,-0.002364,0.15,-0.0042575,0.15,-0.00654
0.151,0.00048115,0.151,0.000754,0.151,0.00105,0.151,0.002151,0.151,0.0024945,0.151,0.0029985,0.151,0.0035675,0.151,0.0041505
0.152,0.0006145,0.152,0.000984,0.152,0.0015675,0.152,0.0028325,0.152,0.003413,0.152,0.004005,0.152,0.0051,0.152,0.005975
0.153,0.0007185,0.153,0.0011715,0.153,0.001904,0.153,0.003491,0.153,0.0041325,0.153,0.0048715,0.153,0.006075,0.153,0.00731
0.154,0.000784,0.154,0.00129,0.154,0.002133,0.154,0.0038085,0.154,0.0046205,0.154,0.00534,0.154,0.0068,0.154,0.008135
0.155,0.000845,0.155,0.0014025,0.155,0.0023225,0.155,0.004171,0.155,0.005025,0.155,0.0059,0.155,0.00732,0.155,0.008825
0.156,0.0008805,0.156,0.001478,0.156,0.0024965,0.156,0.0044235,0.156,0.00529,0.156,0.00618,0.156,0.00789,0.156,0.009495
0.157,0.000927,0.157,0.001535,0.157,0.002614,0.157,0.004677,0.157,0.00558,0.157,0.006525,0.157,0.008325,0.157,0.00986
0.158,0.000952,0.158,0.0016045,0.158,0.002738,0.158,0.004843,0.158,0.00583,0.158,0.006825,0.158,0.00858,0.158,0.01041
0.159,0.0010035,0.159,0.001674,0.159,0.0028465,0.159,0.005085,0.159,0.006175,0.159,0.00718,0.159,0.009025,0.159,0.010855
0.16,0.0010185,0.16,0.0017115,0.16,0.002977,0.16,0.005205,0.16,0.00626,0.16,0.0073,0.16,0.009285,0.16,0.01117
0.161,0.001049,0.161,0.001775,0.161,0.0030465,0.161,0.0054,0.161,0.006435,0.161,0.00758,0.161,0.00965,0.161,0.011495
0.162,0.001082,0.162,0.0018065,0.162,0.003118,0.162,0.00556,0.162,0.006675,0.162,0.007775,0.162,0.009865,0.162,0.01184
0.163,0.0011,0.163,0.0018565,0.163,0.0031775,0.163,0.0057,0.163,0.006795,0.163,0.007945,0.163,0.01011,0.163,0.012115
0.164,0.0011155,0.164,0.0018795,0.164,0.003277,0.164,0.005775,0.164,0.00695,0.164,0.0081,0.164,0.010285,0.164,0.012385
0.165,0.0011385,0.165,0.0019155,0.165,0.003317,0.165,0.005935,0.165,0.007135,0.165,0.00836,0.165,0.010525,0.165,0.012635
