Working area (cm^2),2,,,
Frequency,Z',-Z'',Z,Phase
Hz,ohm cm2,ohm cm2,ohm cm2,deg
999000,4.254,-0.3046,4.266,4.1
825200,3.856,-0.2124,3.862,3.2
681600,3.736,-0.10116,3.736,1.6
562500,3.622,0.009492,3.622,-0.2
463900,3.622,0.07426,3.622,-1.2
382800,3.622,0.1278,3.624,-2
316400,3.656,0.1683,3.66,-2.6
260700,3.684,0.2082,3.69,-3.2
215800,3.72,0.237,3.728,-3.6
177700,3.752,0.2648,3.762,-4
146500,3.78,0.2834,3.79,-4.3
121100,3.81,0.272,3.82,-4.1
99610,3.852,0.2372,3.86,-3.5
82520,3.896,0.19762,3.902,-2.9
68120,3.93,0.16664,3.934,-2.4
56150,3.95,0.15106,3.952,-2.2
46390,3.958,0.1458,3.962,-2.1
38330,3.964,0.1525,3.968,-2.2
31740,3.966,0.16544,3.97,-2.4
26120,3.986,0.17636,3.99,-2.5
21480,3.982,0.2298,3.99,-3.3
17820,3.97,0.2518,3.978,-3.6
14650,4.218,0.6098,4.262,-8.2
12210,4.378,0.8326,4.456,-10.8
10010,4.256,0.5962,4.296,-8
8301,4.134,0.3908,4.152,-5.4
6836,4.04,0.2284,4.046,-3.2
5615,4.026,0.2068,4.032,-2.9
4639,4.04,0.2416,4.048,-3.4
3906,4.07,0.3076,4.082,-4.3
3174,4.096,0.3624,4.112,-5.1
2686,4.122,0.422,4.144,-5.8
2197,3.794,0.8296,3.884,-12.3
1709,3.062,1.4846,3.402,-25.9
1465,2.182,1.836,2.852,-40.1
1221,1.3622,1.7688,2.232,-52.4
976.6,0.903,1.5562,1.7992,-59.9
825.2,0.7966,1.5066,1.7042,-62.1
683.6,0.92,1.6548,1.8932,-60.9
561.5,1.1902,1.9882,2.318,-59.1
463.9,1.4744,2.362,2.784,-58
380.9,1.7564,2.714,3.232,-57.1
317.4,2.146,3.068,3.744,-55
258.8,2.648,3.394,4.304,-52
214.8,3.63,3.47,5.022,-43.7
175.8,4.776,3.398,5.862,-35.4
146.5,5.66,3.302,6.552,-30.3
122.1,6.418,3.1,7.128,-25.8
97.66,6.958,2.896,7.536,-22.6
82.54,7.368,2.68,7.84,-20
68.13,7.724,2.324,8.066,-16.7
56.23,8.054,1.8946,8.274,-13.2
46.42,8.338,1.576,8.486,-10.7
38.31,8.56,1.342,8.666,-8.9
31.62,8.726,1.178,8.804,-7.7
26.1,8.842,1.0338,8.902,-6.7
21.54,8.924,0.9008,8.97,-5.8
17.78,8.986,0.776,9.02,-4.9
14.68,9.036,0.6634,9.06,-4.2
12.12,9.076,0.565,9.094,-3.6
10,9.044,0.4748,9.058,-3
8.254,9.008,0.3982,9.018,-2.5
6.813,9.032,0.3486,9.04,-2.2
5.623,9.08,0.3184,9.086,-2
4.642,9.138,0.3006,9.142,-1.9
3.831,9.18,0.2826,9.184,-1.8
3.162,9.204,0.2688,9.208,-1.7
2.61,9.214,0.2466,9.216,-1.5
2.154,9.2,0.223,9.204,-1.4
1.778,9.204,0.228,9.206,-1.4
1.468,9.232,0.2348,9.236,-1.5
1.212,9.25,0.2352,9.252,-1.5
1,9.268,0.236,9.272,-1.5
