Sept. 21, 2026   15:40:34
A.C. Impedance
File: d:\desktop\sample\ss310 1 cm2\ss310_eis 0.bin
Data Source:  Experiment
Instrument Model:  CHI660D
Header: 
Note: 

Init E (V) = 0.736
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

1.001e+5, 1.007e+1, -2.644e+0, 1.041e+1, -14.7
8.252e+4, 1.040e+1, -2.297e+0, 1.066e+1, -12.4
6.812e+4, 1.066e+1, -1.977e+0, 1.084e+1, -10.5
5.615e+4, 1.084e+1, -1.681e+0, 1.097e+1, -8.8
4.639e+4, 1.097e+1, -1.420e+0, 1.107e+1, -7.4
3.833e+4, 1.106e+1, -1.193e+0, 1.113e+1, -6.2
3.174e+4, 1.112e+1, -1.002e+0, 1.117e+1, -5.1
2.612e+4, 1.117e+1, -8.422e-1, 1.120e+1, -4.3
2.148e+4, 1.120e+1, -7.097e-1, 1.122e+1, -3.6
1.782e+4, 1.122e+1, -6.008e-1, 1.124e+1, -3.1
1.465e+4, 1.124e+1, -5.121e-1, 1.125e+1, -2.6
1.221e+4, 1.126e+1, -4.390e-1, 1.127e+1, -2.2
1.001e+4, 1.127e+1, -3.848e-1, 1.128e+1, -2.0
8.301e+3, 1.128e+1, -3.438e-1, 1.128e+1, -1.7
6.836e+3, 1.129e+1, -3.078e-1, 1.129e+1, -1.6
5.615e+3, 1.130e+1, -2.769e-1, 1.130e+1, -1.4
4.639e+3, 1.131e+1, -2.519e-1, 1.131e+1, -1.3
3.906e+3, 1.132e+1, -2.339e-1, 1.132e+1, -1.2
3.174e+3, 1.133e+1, -2.227e-1, 1.133e+1, -1.1
2.686e+3, 1.134e+1, -2.190e-1, 1.134e+1, -1.1
2.197e+3, 1.135e+1, -2.226e-1, 1.135e+1, -1.1
1.709e+3, 1.136e+1, -2.327e-1, 1.136e+1, -1.2
1.465e+3, 1.137e+1, -2.480e-1, 1.137e+1, -1.2
1.221e+3, 1.138e+1, -2.699e-1, 1.139e+1, -1.4
9.766e+2, 1.140e+1, -2.863e-1, 1.141e+1, -1.4
8.252e+2, 1.142e+1, -3.044e-1, 1.143e+1, -1.5
6.836e+2, 1.145e+1, -3.428e-1, 1.145e+1, -1.7
5.615e+2, 1.147e+1, -4.003e-1, 1.147e+1, -2.0
4.639e+2, 1.150e+1, -4.750e-1, 1.151e+1, -2.4
3.809e+2, 1.154e+1, -5.622e-1, 1.155e+1, -2.8
3.174e+2, 1.157e+1, -6.653e-1, 1.159e+1, -3.3
2.588e+2, 1.161e+1, -7.845e-1, 1.163e+1, -3.9
2.148e+2, 1.166e+1, -9.217e-1, 1.169e+1, -4.5
1.758e+2, 1.173e+1, -1.076e+0, 1.178e+1, -5.2
1.465e+2, 1.182e+1, -1.291e+0, 1.189e+1, -6.2
1.221e+2, 1.194e+1, -1.552e+0, 1.204e+1, -7.4
9.766e+1, 1.211e+1, -1.794e+0, 1.225e+1, -8.4
8.254e+1, 1.234e+1, -2.014e+0, 1.250e+1, -9.3
6.813e+1, 1.262e+1, -2.216e+0, 1.281e+1, -10.0
5.623e+1, 1.295e+1, -2.407e+0, 1.317e+1, -10.5
4.642e+1, 1.333e+1, -2.578e+0, 1.358e+1, -10.9
3.831e+1, 1.377e+1, -2.711e+0, 1.403e+1, -11.1
3.162e+1, 1.425e+1, -2.785e+0, 1.452e+1, -11.1
2.610e+1, 1.474e+1, -2.787e+0, 1.500e+1, -10.7
2.154e+1, 1.523e+1, -2.713e+0, 1.547e+1, -10.1
1.778e+1, 1.568e+1, -2.571e+0, 1.589e+1, -9.3
1.468e+1, 1.608e+1, -2.380e+0, 1.626e+1, -8.4
1.212e+1, 1.642e+1, -2.158e+0, 1.656e+1, -7.5
1.000e+1, 1.670e+1, -1.920e+0, 1.681e+1, -6.6
8.254e+0, 1.692e+1, -1.685e+0, 1.700e+1, -5.7
6.813e+0, 1.709e+1, -1.462e+0, 1.715e+1, -4.9
5.623e+0, 1.723e+1, -1.260e+0, 1.727e+1, -4.2
4.642e+0, 1.734e+1, -1.081e+0, 1.737e+1, -3.6
3.831e+0, 1.742e+1, -9.240e-1, 1.745e+1, -3.0
3.162e+0, 1.747e+1, -7.985e-1, 1.748e+1, -2.6
2.610e+0, 1.748e+1, -6.966e-1, 1.749e+1, -2.3
2.154e+0, 1.748e+1, -6.116e-1, 1.749e+1, -2.0
1.778e+0, 1.749e+1, -5.454e-1, 1.750e+1, -1.8
1.468e+0, 1.751e+1, -4.814e-1, 1.751e+1, -1.6
1.212e+0, 1.752e+1, -4.192e-1, 1.753e+1, -1.4
1.000e+0, 1.755e+1, -3.619e-1, 1.755e+1, -1.2
