Sept. 21, 2026   16:26:02
A.C. Impedance
File: d:\desktop\sample\ss310 1 cm2\ss310_eis 0p786 v.bin
Data Source:  Experiment
Instrument Model:  CHI660D
Header: 
Note: 

Init E (V) = 0.786
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

1.001e+5, 1.044e+1, -2.761e+0, 1.080e+1, -14.8
8.252e+4, 1.078e+1, -2.413e+0, 1.105e+1, -12.6
6.812e+4, 1.104e+1, -2.071e+0, 1.124e+1, -10.6
5.615e+4, 1.124e+1, -1.765e+0, 1.138e+1, -8.9
4.639e+4, 1.138e+1, -1.487e+0, 1.147e+1, -7.4
3.833e+4, 1.147e+1, -1.251e+0, 1.154e+1, -6.2
3.174e+4, 1.153e+1, -1.054e+0, 1.158e+1, -5.2
2.612e+4, 1.159e+1, -8.890e-1, 1.162e+1, -4.4
2.148e+4, 1.163e+1, -7.492e-1, 1.165e+1, -3.7
1.782e+4, 1.166e+1, -6.319e-1, 1.168e+1, -3.1
1.465e+4, 1.168e+1, -5.382e-1, 1.170e+1, -2.6
1.221e+4, 1.170e+1, -4.628e-1, 1.171e+1, -2.3
1.001e+4, 1.172e+1, -4.031e-1, 1.173e+1, -2.0
8.301e+3, 1.174e+1, -3.597e-1, 1.175e+1, -1.8
6.836e+3, 1.176e+1, -3.230e-1, 1.176e+1, -1.6
5.615e+3, 1.177e+1, -2.915e-1, 1.177e+1, -1.4
4.639e+3, 1.179e+1, -2.664e-1, 1.179e+1, -1.3
3.906e+3, 1.180e+1, -2.472e-1, 1.180e+1, -1.2
3.174e+3, 1.182e+1, -2.352e-1, 1.182e+1, -1.1
2.686e+3, 1.183e+1, -2.313e-1, 1.183e+1, -1.1
2.197e+3, 1.184e+1, -2.344e-1, 1.185e+1, -1.1
1.709e+3, 1.186e+1, -2.446e-1, 1.186e+1, -1.2
1.465e+3, 1.188e+1, -2.601e-1, 1.188e+1, -1.3
1.221e+3, 1.190e+1, -2.832e-1, 1.190e+1, -1.4
9.766e+2, 1.192e+1, -3.144e-1, 1.192e+1, -1.5
8.252e+2, 1.192e+1, -3.548e-1, 1.193e+1, -1.7
6.836e+2, 1.192e+1, -4.069e-1, 1.193e+1, -2.0
5.615e+2, 1.193e+1, -4.705e-1, 1.194e+1, -2.3
4.639e+2, 1.195e+1, -5.439e-1, 1.197e+1, -2.6
3.809e+2, 1.200e+1, -6.249e-1, 1.202e+1, -3.0
3.174e+2, 1.206e+1, -7.216e-1, 1.208e+1, -3.4
2.588e+2, 1.213e+1, -8.351e-1, 1.216e+1, -3.9
2.148e+2, 1.222e+1, -9.647e-1, 1.226e+1, -4.5
1.758e+2, 1.233e+1, -1.110e+0, 1.238e+1, -5.1
1.465e+2, 1.246e+1, -1.265e+0, 1.252e+1, -5.8
1.221e+2, 1.263e+1, -1.435e+0, 1.271e+1, -6.5
9.766e+1, 1.284e+1, -1.608e+0, 1.294e+1, -7.1
8.254e+1, 1.308e+1, -1.768e+0, 1.320e+1, -7.7
6.813e+1, 1.337e+1, -1.911e+0, 1.351e+1, -8.1
5.623e+1, 1.370e+1, -2.020e+0, 1.385e+1, -8.4
4.642e+1, 1.406e+1, -2.084e+0, 1.421e+1, -8.4
3.831e+1, 1.443e+1, -2.094e+0, 1.458e+1, -8.3
3.162e+1, 1.480e+1, -2.048e+0, 1.494e+1, -7.9
2.610e+1, 1.515e+1, -1.953e+0, 1.527e+1, -7.3
2.154e+1, 1.546e+1, -1.820e+0, 1.556e+1, -6.7
1.778e+1, 1.572e+1, -1.662e+0, 1.581e+1, -6.0
1.468e+1, 1.594e+1, -1.494e+0, 1.601e+1, -5.4
1.212e+1, 1.612e+1, -1.325e+0, 1.617e+1, -4.7
1.000e+1, 1.627e+1, -1.164e+0, 1.631e+1, -4.1
8.254e+0, 1.638e+1, -1.015e+0, 1.641e+1, -3.5
6.813e+0, 1.647e+1, -8.851e-1, 1.650e+1, -3.1
5.623e+0, 1.655e+1, -7.693e-1, 1.656e+1, -2.7
4.642e+0, 1.660e+1, -6.643e-1, 1.662e+1, -2.3
3.831e+0, 1.666e+1, -5.709e-1, 1.666e+1, -2.0
3.162e+0, 1.667e+1, -5.058e-1, 1.668e+1, -1.7
2.610e+0, 1.666e+1, -4.593e-1, 1.667e+1, -1.6
2.154e+0, 1.664e+1, -4.183e-1, 1.664e+1, -1.4
1.778e+0, 1.661e+1, -3.882e-1, 1.662e+1, -1.3
1.468e+0, 1.662e+1, -3.547e-1, 1.662e+1, -1.2
1.212e+0, 1.664e+1, -3.193e-1, 1.665e+1, -1.1
1.000e+0, 1.667e+1, -2.840e-1, 1.668e+1, -1.0
