Sept. 21, 2026   17:03:18
A.C. Impedance
File: ss310_eis 0p886 v.bin
Data Source:  Experiment
Instrument Model:  CHI660D
Header: 
Note: 

Init E (V) = 0.886
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

1.001e+5, 1.015e+1, -2.642e+0, 1.049e+1, -14.6
8.252e+4, 1.050e+1, -2.294e+0, 1.075e+1, -12.3
6.812e+4, 1.077e+1, -1.976e+0, 1.095e+1, -10.4
5.615e+4, 1.097e+1, -1.693e+0, 1.110e+1, -8.8
4.639e+4, 1.111e+1, -1.434e+0, 1.120e+1, -7.4
3.833e+4, 1.121e+1, -1.211e+0, 1.127e+1, -6.2
3.174e+4, 1.128e+1, -1.019e+0, 1.133e+1, -5.2
2.612e+4, 1.134e+1, -8.549e-1, 1.138e+1, -4.3
2.148e+4, 1.140e+1, -7.192e-1, 1.142e+1, -3.6
1.782e+4, 1.143e+1, -6.088e-1, 1.145e+1, -3.0
1.465e+4, 1.145e+1, -5.221e-1, 1.146e+1, -2.6
1.221e+4, 1.147e+1, -4.506e-1, 1.148e+1, -2.2
1.001e+4, 1.149e+1, -3.940e-1, 1.150e+1, -2.0
8.301e+3, 1.151e+1, -3.515e-1, 1.151e+1, -1.7
6.836e+3, 1.152e+1, -3.152e-1, 1.153e+1, -1.6
5.615e+3, 1.155e+1, -2.854e-1, 1.155e+1, -1.4
4.639e+3, 1.157e+1, -2.616e-1, 1.157e+1, -1.3
3.906e+3, 1.158e+1, -2.451e-1, 1.159e+1, -1.2
3.174e+3, 1.160e+1, -2.362e-1, 1.160e+1, -1.2
2.686e+3, 1.160e+1, -2.355e-1, 1.160e+1, -1.2
2.197e+3, 1.161e+1, -2.424e-1, 1.162e+1, -1.2
1.709e+3, 1.163e+1, -2.550e-1, 1.164e+1, -1.3
1.465e+3, 1.166e+1, -2.725e-1, 1.167e+1, -1.3
1.221e+3, 1.169e+1, -2.984e-1, 1.169e+1, -1.5
9.766e+2, 1.171e+1, -3.320e-1, 1.171e+1, -1.6
8.252e+2, 1.173e+1, -3.722e-1, 1.174e+1, -1.8
6.836e+2, 1.177e+1, -4.216e-1, 1.178e+1, -2.1
5.615e+2, 1.182e+1, -4.833e-1, 1.183e+1, -2.3
4.639e+2, 1.187e+1, -5.569e-1, 1.188e+1, -2.7
3.809e+2, 1.194e+1, -6.384e-1, 1.195e+1, -3.1
3.174e+2, 1.202e+1, -7.317e-1, 1.204e+1, -3.5
2.588e+2, 1.211e+1, -8.354e-1, 1.214e+1, -3.9
2.148e+2, 1.223e+1, -9.466e-1, 1.227e+1, -4.4
1.758e+2, 1.237e+1, -1.062e+0, 1.242e+1, -4.9
1.465e+2, 1.253e+1, -1.173e+0, 1.259e+1, -5.3
1.221e+2, 1.273e+1, -1.273e+0, 1.280e+1, -5.7
9.766e+1, 1.297e+1, -1.349e+0, 1.304e+1, -5.9
8.254e+1, 1.322e+1, -1.391e+0, 1.329e+1, -6.0
6.813e+1, 1.348e+1, -1.400e+0, 1.355e+1, -5.9
5.623e+1, 1.373e+1, -1.374e+0, 1.379e+1, -5.7
4.642e+1, 1.395e+1, -1.319e+0, 1.401e+1, -5.4
3.831e+1, 1.414e+1, -1.242e+0, 1.419e+1, -5.0
3.162e+1, 1.431e+1, -1.146e+0, 1.436e+1, -4.6
2.610e+1, 1.446e+1, -1.040e+0, 1.450e+1, -4.1
2.154e+1, 1.459e+1, -9.317e-1, 1.462e+1, -3.7
1.778e+1, 1.470e+1, -8.270e-1, 1.472e+1, -3.2
1.468e+1, 1.479e+1, -7.299e-1, 1.480e+1, -2.8
1.212e+1, 1.486e+1, -6.405e-1, 1.487e+1, -2.5
1.000e+1, 1.492e+1, -5.594e-1, 1.493e+1, -2.1
8.254e+0, 1.497e+1, -4.878e-1, 1.497e+1, -1.9
6.813e+0, 1.501e+1, -4.227e-1, 1.501e+1, -1.6
5.623e+0, 1.505e+1, -3.645e-1, 1.505e+1, -1.4
4.642e+0, 1.508e+1, -3.145e-1, 1.509e+1, -1.2
3.831e+0, 1.511e+1, -2.713e-1, 1.512e+1, -1.0
3.162e+0, 1.513e+1, -2.421e-1, 1.513e+1, -0.9
2.610e+0, 1.514e+1, -2.193e-1, 1.514e+1, -0.8
2.154e+0, 1.515e+1, -2.004e-1, 1.515e+1, -0.8
1.778e+0, 1.516e+1, -1.759e-1, 1.516e+1, -0.7
1.468e+0, 1.517e+1, -1.516e-1, 1.517e+1, -0.6
1.212e+0, 1.514e+1, -1.377e-1, 1.514e+1, -0.5
1.000e+0, 1.510e+1, -1.253e-1, 1.510e+1, -0.5
