Sept. 21, 2026   15:06:56
Linear Sweep Voltammetry
File: ss310_sheet_lsv 1 mvs 11.83 ohm.bin
Data Source:  Experiment
Instrument Model:  CHI660D
Header: 
Note: 

Init E (V) = 0.2
Final E (V) = 0.9
Scan Rate (V/s) = 0.001
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.454V
ip = 1.303e-4A
Ah = 1.124e-3C

Potential/V, Current/A

0.200, -4.655e-7
0.201, -1.219e-7
0.202, 1.219e-7
0.203, 3.468e-7
0.204, 4.343e-7
0.205, 5.280e-7
0.206, 6.842e-7
0.207, 7.092e-7
0.208, 8.467e-7
0.209, 8.842e-7
0.210, 9.592e-7
0.211, 9.592e-7
0.212, 1.009e-6
0.213, 1.028e-6
0.214, 1.065e-6
0.215, 1.184e-6
0.216, 1.159e-6
0.217, 1.234e-6
0.218, 1.228e-6
0.219, 1.278e-6
0.220, 1.322e-6
0.221, 1.322e-6
0.222, 1.378e-6
0.223, 1.403e-6
0.224, 1.378e-6
0.225, 1.422e-6
0.226, 1.397e-6
0.227, 1.497e-6
0.228, 1.528e-6
0.229, 1.540e-6
0.230, 1.553e-6
0.231, 1.540e-6
0.232, 1.640e-6
0.233, 1.590e-6
0.234, 1.628e-6
0.235, 1.628e-6
0.236, 1.678e-6
0.237, 1.740e-6
0.238, 1.722e-6
0.239, 1.784e-6
0.240, 1.797e-6
0.241, 1.809e-6
0.242, 1.803e-6
0.243, 1.878e-6
0.244, 1.890e-6
0.245, 1.922e-6
0.246, 1.909e-6
0.247, 1.947e-6
0.248, 1.978e-6
0.249, 1.996e-6
0.250, 1.996e-6
0.251, 2.084e-6
0.252, 1.996e-6
0.253, 2.059e-6
0.254, 2.059e-6
0.255, 2.071e-6
0.256, 2.146e-6
0.257, 2.146e-6
0.258, 2.146e-6
0.259, 2.121e-6
0.260, 2.171e-6
0.261, 2.190e-6
0.262, 2.215e-6
0.263, 2.234e-6
0.264, 2.196e-6
0.265, 2.278e-6
0.266, 2.284e-6
0.267, 2.334e-6
0.268, 2.340e-6
0.269, 2.303e-6
0.270, 2.359e-6
0.271, 2.371e-6
0.272, 2.409e-6
0.273, 2.421e-6
0.274, 2.478e-6
0.275, 2.446e-6
0.276, 2.503e-6
0.277, 2.515e-6
0.278, 2.521e-6
0.279, 2.571e-6
0.280, 2.571e-6
0.281, 2.590e-6
0.282, 2.615e-6
0.283, 2.696e-6
0.284, 2.721e-6
0.285, 2.765e-6
0.286, 2.728e-6
0.287, 2.809e-6
0.288, 2.846e-6
0.289, 2.884e-6
0.290, 2.909e-6
0.291, 2.946e-6
0.292, 3.009e-6
0.293, 3.021e-6
0.294, 3.115e-6
0.295, 3.084e-6
0.296, 3.159e-6
0.297, 3.184e-6
0.298, 3.228e-6
0.299, 3.234e-6
0.300, 3.296e-6
0.301, 3.352e-6
0.302, 3.384e-6
0.303, 3.390e-6
0.304, 3.490e-6
0.305, 3.465e-6
0.306, 3.509e-6
0.307, 3.559e-6
0.308, 3.627e-6
0.309, 3.596e-6
0.310, 3.696e-6
0.311, 3.684e-6
0.312, 3.759e-6
0.313, 3.790e-6
0.314, 3.840e-6
0.315, 3.840e-6
0.316, 3.915e-6
0.317, 3.927e-6
0.318, 3.884e-6
