Sept. 21, 2026   14:54:08
Linear Sweep Voltammetry
File: ss310_sheet_lsv 5 mvs 11.83 ohm
Data Source:  Experiment
Instrument Model:  CHI660D
Header: 
Note: 

Init E (V) = 0.2
Final E (V) = 0.9
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.464V
ip = 5.287e-4A
Ah = 1.461e-3C

Potential/V, Current/A

0.200, 4.030e-6
0.201, 4.202e-6
0.202, 4.109e-6
0.203, 4.171e-6
0.204, 4.132e-6
0.205, 4.210e-6
0.206, 4.280e-6
0.207, 4.077e-6
0.208, 4.116e-6
0.209, 4.226e-6
0.210, 4.210e-6
0.211, 4.163e-6
0.212, 4.195e-6
0.213, 4.054e-6
0.214, 4.070e-6
0.215, 4.179e-6
0.216, 4.249e-6
0.217, 4.187e-6
0.218, 4.249e-6
0.219, 4.343e-6
0.220, 4.280e-6
0.221, 4.327e-6
0.222, 4.273e-6
0.223, 4.359e-6
0.224, 4.343e-6
0.225, 4.304e-6
0.226, 4.374e-6
0.227, 4.468e-6
0.228, 4.413e-6
0.229, 4.452e-6
0.230, 4.382e-6
0.231, 4.421e-6
0.232, 4.585e-6
0.233, 4.476e-6
0.234, 4.624e-6
0.235, 4.663e-6
0.236, 4.577e-6
0.237, 4.804e-6
0.238, 4.773e-6
0.239, 4.726e-6
0.240, 4.702e-6
0.241, 4.757e-6
0.242, 4.866e-6
0.243, 4.796e-6
0.244, 4.890e-6
0.245, 4.968e-6
0.246, 4.921e-6
0.247, 4.976e-6
0.248, 4.991e-6
0.249, 5.155e-6
0.250, 5.077e-6
0.251, 5.163e-6
0.252, 5.108e-6
0.253, 5.194e-6
0.254, 5.171e-6
0.255, 5.218e-6
0.256, 5.257e-6
0.257, 5.311e-6
0.258, 5.343e-6
0.259, 5.311e-6
0.260, 5.452e-6
0.261, 5.483e-6
0.262, 5.530e-6
0.263, 5.585e-6
0.264, 5.507e-6
0.265, 5.585e-6
0.266, 5.694e-6
0.267, 5.632e-6
0.268, 5.694e-6
0.269, 5.585e-6
0.270, 5.772e-6
0.271, 5.835e-6
0.272, 5.796e-6
0.273, 5.874e-6
0.274, 5.968e-6
0.275, 6.038e-6
0.276, 5.975e-6
0.277, 5.944e-6
0.278, 6.054e-6
0.279, 6.014e-6
0.280, 6.155e-6
0.281, 6.038e-6
0.282, 6.132e-6
0.283, 6.249e-6
0.284, 6.179e-6
0.285, 6.475e-6
0.286, 6.327e-6
0.287, 6.296e-6
0.288, 6.319e-6
0.289, 6.358e-6
0.290, 6.436e-6
0.291, 6.444e-6
0.292, 6.530e-6
0.293, 6.569e-6
0.294, 6.616e-6
0.295, 6.639e-6
0.296, 6.608e-6
0.297, 6.686e-6
0.298, 6.811e-6
0.299, 6.686e-6
0.300, 6.842e-6
0.301, 6.749e-6
0.302, 6.780e-6
0.303, 6.952e-6
0.304, 7.014e-6
0.305, 7.022e-6
0.306, 7.061e-6
0.307, 7.108e-6
0.308, 7.108e-6
0.309, 7.147e-6
0.310, 7.100e-6
0.311, 7.171e-6
0.312, 7.358e-6
0.313, 7.295e-6
0.314, 7.342e-6
0.315, 7.389e-6
0.316, 7.381e-6
0.317, 7.499e-6
0.318, 7.491e-6
0.319, 7.522e-6
0.320, 7.561e-6
0.321, 7.616e-6
0.322, 7.764e-6
0.323, 7.764e-6
0.324, 7.764e-6
0.325, 7.764e-6
0.326, 7.874e-6
0.327, 8.014e-6
0.328, 7.842e-6
0.329, 7.795e-6
0.330, 8.022e-6
0.331, 7.881e-6
0.332, 8.077e-6
0.333, 8.123e-6
0.334, 8.163e-6
0.335, 8.084e-6
0.336, 8.147e-6
0.337, 8.295e-6
0.338, 8.428e-6
0.339, 8.194e-6
0.340, 8.319e-6
0.341, 8.553e-6
0.342, 8.498e-6
0.343, 8.553e-6
0.344, 8.577e-6
0.345, 8.600e-6
0.346, 8.514e-6
0.347, 8.600e-6
0.348, 8.756e-6
0.349, 8.741e-6
0.350, 8.928e-6
0.351, 8.780e-6
0.352, 8.787e-6
0.353, 8.959e-6
0.354, 8.897e-6
0.355, 8.889e-6
0.356, 9.006e-6
0.357, 9.061e-6
0.358, 8.998e-6
0.359, 9.006e-6
0.360, 9.139e-6
0.361, 9.123e-6
0.362, 9.264e-6
0.363, 9.303e-6
0.364, 9.311e-6
0.365, 9.467e-6
0.366, 9.295e-6
0.367, 9.311e-6
0.368, 9.576e-6
0.369, 9.420e-6
0.370, 9.475e-6
0.371, 9.490e-6
0.372, 9.615e-6
0.373, 9.654e-6
0.374, 9.686e-6
0.375, 9.779e-6
0.376, 9.881e-6
0.377, 9.850e-6
0.378, 1.004e-5
0.379, 1.011e-5
0.380, 1.008e-5
0.381, 1.001e-5
0.382, 1.012e-5
0.383, 1.025e-5
0.384, 1.019e-5
0.385, 1.034e-5
0.386, 1.043e-5
0.387, 1.050e-5
0.388, 1.071e-5
0.389, 1.062e-5
0.390, 1.067e-5
0.391, 1.083e-5
0.392, 1.101e-5
0.393, 1.101e-5
0.394, 1.119e-5
0.395, 1.119e-5
0.396, 1.128e-5
0.397, 1.134e-5
0.398, 1.144e-5
0.399, 1.169e-5
0.400, 1.169e-5
0.401, 1.181e-5
0.402, 1.204e-5
0.403, 1.212e-5
0.404, 1.231e-5
0.405, 1.237e-5
0.406, 1.258e-5
0.407, 1.262e-5
0.408, 1.290e-5
0.409, 1.289e-5
0.410, 1.261e-5
0.411, 1.309e-5
0.412, 1.336e-5
0.413, 1.342e-5
0.414, 1.378e-5
0.415, 1.402e-5
0.416, 1.412e-5
0.417, 1.437e-5
0.418, 1.451e-5
0.419, 1.487e-5
0.420, 1.522e-5
0.421, 1.540e-5
0.422, 1.596e-5
0.423, 1.614e-5
0.424, 1.643e-5
0.425, 1.688e-5
0.426, 1.734e-5
0.427, 1.809e-5
0.428, 1.878e-5
0.429, 1.954e-5
0.430, 2.050e-5
0.431, 2.143e-5
0.432, 2.263e-5
0.433, 2.424e-5
0.434, 2.587e-5
0.435, 2.776e-5
0.436, 2.981e-5
0.437, 3.258e-5
0.438, 3.590e-5
0.439, 3.975e-5
0.440, 4.416e-5
0.441, 4.966e-5
0.442, 5.586e-5
0.443, 6.368e-5
0.444, 7.264e-5
0.445, 8.277e-5
0.446, 9.535e-5
0.447, 1.102e-4
0.448, 1.274e-4
0.449, 1.478e-4
0.450, 1.716e-4
0.451, 1.996e-4
0.452, 2.309e-4
0.453, 2.658e-4
0.454, 3.035e-4
0.455, 3.420e-4
0.456, 3.796e-4
0.457, 4.150e-4
0.458, 4.466e-4
0.459, 4.737e-4
0.460, 4.961e-4
0.461, 5.136e-4
0.462, 5.264e-4
0.463, 5.337e-4
0.464, 5.359e-4
0.465, 5.335e-4
0.466, 5.263e-4
0.467, 5.147e-4
0.468, 4.997e-4
0.469, 4.806e-4
0.470, 4.590e-4
0.471, 4.351e-4
0.472, 4.099e-4
0.473, 3.840e-4
0.474, 3.576e-4
0.475, 3.324e-4
0.476, 3.083e-4
0.477, 2.854e-4
0.478, 2.644e-4
0.479, 2.454e-4
0.480, 2.282e-4
0.481, 2.130e-4
0.482, 1.989e-4
0.483, 1.868e-4
0.484, 1.757e-4
0.485, 1.664e-4
0.486, 1.580e-4
0.487, 1.504e-4
0.488, 1.436e-4
0.489, 1.378e-4
0.490, 1.319e-4
0.491, 1.273e-4
0.492, 1.234e-4
0.493, 1.194e-4
0.494, 1.161e-4
0.495, 1.129e-4
0.496, 1.100e-4
0.497, 1.072e-4
0.498, 1.044e-4
0.499, 1.019e-4
0.500, 9.961e-5
0.501, 9.745e-5
0.502, 9.530e-5
0.503, 9.326e-5
0.504, 9.123e-5
0.505, 8.971e-5
0.506, 8.768e-5
0.507, 8.585e-5
0.508, 8.391e-5
0.509, 8.178e-5
0.510, 7.988e-5
0.511, 7.834e-5
