Overpotential / V,Current / A,Tafel
3.000000000000002665e-02,2.343000000000000003e-07,-6.630227711403037461e+00
3.300000000000014033e-02,3.905000000000000093e-07,-6.408378961786680428e+00
3.500000000000014211e-02,3.905000000000000093e-07,-6.408378961786680428e+00
3.600000000000003197e-02,3.905000000000000093e-07,-6.408378961786680428e+00
3.900000000000014566e-02,1.562000000000000090e-07,-6.806318970458718809e+00
4.000000000000003553e-02,7.810000000000000451e-08,-7.107348966122700062e+00
4.100000000000014744e-02,3.124000000000000181e-07,-6.505288974794737555e+00
4.200000000000003730e-02,5.467999999999999994e-07,-6.262171494104215697e+00
4.300000000000014921e-02,2.343000000000000003e-07,-6.630227711403037461e+00
4.400000000000003908e-02,3.905000000000000093e-07,-6.408378961786680428e+00
4.499999999999992895e-02,4.687000000000000081e-07,-6.329105046479789998e+00
4.600000000000004086e-02,3.905000000000000093e-07,-6.408378961786680428e+00
4.700000000000015277e-02,7.811000000000000262e-07,-6.107293362194334385e+00
4.800000000000004263e-02,9.373000000000000087e-07,-6.028121382973734121e+00
4.899999999999993250e-02,1.172000000000000171e-06,-5.931072388317928379e+00
5.000000000000004441e-02,1.250000000000000102e-06,-5.903089986991943761e+00
5.100000000000015632e-02,7.811000000000000262e-07,-6.107293362194334385e+00
5.200000000000004619e-02,8.591999999999999645e-07,-6.065905731644519960e+00
5.299999999999993605e-02,1.172000000000000171e-06,-5.931072388317928379e+00
5.400000000000004796e-02,1.172000000000000171e-06,-5.931072388317928379e+00
5.500000000000015987e-02,1.250000000000000102e-06,-5.903089986991943761e+00
5.600000000000004974e-02,1.562000000000000037e-06,-5.806318970458718809e+00
5.699999999999993960e-02,1.250000000000000102e-06,-5.903089986991943761e+00
5.800000000000005151e-02,1.405999999999999964e-06,-5.852014679316194901e+00
5.900000000000016342e-02,1.405999999999999964e-06,-5.852014679316194901e+00
6.000000000000005329e-02,1.717999999999999899e-06,-5.764976840504776767e+00
6.099999999999994316e-02,1.562000000000000037e-06,-5.806318970458718809e+00
6.200000000000005507e-02,1.797000000000000117e-06,-5.745451922891025909e+00
6.300000000000016698e-02,2.030999999999999697e-06,-5.692290076595193149e+00
6.400000000000005684e-02,2.186999999999999983e-06,-5.660151216962362675e+00
6.499999999999994671e-02,2.186999999999999983e-06,-5.660151216962362675e+00
6.600000000000005862e-02,2.656000000000000066e-06,-5.575771929304019991e+00
6.700000000000017053e-02,2.500000000000000205e-06,-5.602059991327962507e+00
6.800000000000006040e-02,2.421000000000000199e-06,-5.616005210558267180e+00
6.899999999999995026e-02,2.733999999999999997e-06,-5.563201489768196950e+00
7.000000000000006217e-02,2.811999999999999928e-06,-5.550984683652213647e+00
7.100000000000017408e-02,2.811999999999999928e-06,-5.550984683652213647e+00
7.200000000000006395e-02,2.968000000000000213e-06,-5.527536103393010158e+00
7.299999999999995381e-02,3.281000000000000011e-06,-5.483993769613952018e+00
7.400000000000006573e-02,3.203000000000000081e-06,-5.494443061336178324e+00
7.500000000000017764e-02,3.358999999999999942e-06,-5.473789996158335391e+00
7.600000000000006750e-02,3.670999999999999666e-06,-5.435215615496013619e+00
7.699999999999995737e-02,3.983999999999999464e-06,-5.399680670248338643e+00
7.800000000000006928e-02,4.061999999999999395e-06,-5.391260080931211895e+00
7.900000000000018119e-02,3.670999999999999666e-06,-5.435215615496013619e+00
8.000000000000007105e-02,3.906000000000000380e-06,-5.408267761048164424e+00
8.099999999999996092e-02,4.452000000000000743e-06,-5.351444844337328810e+00
8.200000000000007283e-02,4.609000000000000256e-06,-5.336393291875479505e+00
8.300000000000018474e-02,4.609000000000000256e-06,-5.336393291875479505e+00
8.400000000000007461e-02,4.843000000000000049e-06,-5.314885530953461057e+00
8.499999999999996447e-02,5.545999999999999925e-06,-5.256020134758156992e+00
8.600000000000007638e-02,5.390000000000000063e-06,-5.268411234813261679e+00
8.700000000000018829e-02,5.310999999999999634e-06,-5.274823698580862974e+00
8.800000000000007816e-02,5.701999999999999786e-06,-5.243972787026558890e+00
8.899999999999996803e-02,6.249000000000000648e-06,-5.204189475332591464e+00
9.000000000000007994e-02,5.936000000000000426e-06,-5.226506107729028905e+00
9.100000000000019185e-02,6.014000000000000357e-06,-5.220836576235501347e+00
9.200000000000008171e-02,6.639000000000000302e-06,-5.177897331353079835e+00
9.299999999999997158e-02,7.107999999999999539e-06,-5.148252580866736317e+00
9.400000000000008349e-02,7.185999999999999469e-06,-5.143512787131369279e+00
9.500000000000019540e-02,7.263999999999999400e-06,-5.138824164486971213e+00
9.600000000000008527e-02,7.341999999999999331e-06,-5.134185619832032366e+00
9.699999999999997513e-02,7.733000000000000331e-06,-5.111651989821950792e+00
9.800000000000008704e-02,7.811000000000000262e-06,-5.107293362194334385e+00
9.900000000000019895e-02,8.358000000000000276e-06,-5.077897633192392846e+00
1.000000000000000888e-01,8.983000000000000221e-06,-5.046578600318964547e+00
1.009999999999999787e-01,8.983000000000000221e-06,-5.046578600318964547e+00
1.020000000000000906e-01,1.023000000000000031e-05,-4.990124366287839841e+00
1.030000000000002025e-01,1.008000000000000005e-05,-4.996539467890493746e+00
1.040000000000000924e-01,1.061999999999999996e-05,-4.973875483254549756e+00
1.049999999999999822e-01,1.156000000000000113e-05,-4.937042165915489278e+00
1.060000000000000941e-01,1.219000000000000018e-05,-4.913996294381617780e+00
1.069999999999999840e-01,1.320000000000000067e-05,-4.879426068794150417e+00
1.080000000000000959e-01,1.219000000000000018e-05,-4.913996294381617780e+00
1.089999999999999858e-01,1.476000000000000098e-05,-4.830913642512976836e+00
1.100000000000000977e-01,1.625000000000000196e-05,-4.789146634685106818e+00
1.109999999999999876e-01,1.851000000000000066e-05,-4.732593581247096282e+00
1.120000000000000995e-01,2.070000000000000171e-05,-4.684029654543082621e+00
1.129999999999999893e-01,2.296000000000000040e-05,-4.639028116274063862e+00
1.140000000000001013e-01,2.749000000000000277e-05,-4.560825260156531336e+00
1.149999999999999911e-01,3.163000000000000040e-05,-4.499900808084277060e+00
1.160000000000001030e-01,3.757000000000000113e-05,-4.425158804936615731e+00
1.169999999999999929e-01,4.444000000000000142e-05,-4.352225949731169941e+00
1.180000000000001048e-01,5.460000000000000579e-05,-4.262807357295262278e+00
1.189999999999999947e-01,6.686000000000000699e-05,-4.174833627743450570e+00
1.200000000000001066e-01,8.287999999999999252e-05,-4.081550257598841824e+00
1.209999999999999964e-01,1.019000000000000103e-04,-3.991825815993573556e+00
1.220000000000001084e-01,1.279000000000000189e-04,-3.893129455521346038e+00
1.229999999999999982e-01,1.600999999999999884e-04,-3.795608668080700188e+00
1.240000000000001101e-01,2.015000000000000189e-04,-3.695724949522871672e+00
1.250000000000000000e-01,2.539000000000000458e-04,-3.595337299126277752e+00
1.260000000000001119e-01,3.205999999999999866e-04,-3.494036481981873887e+00
1.270000000000000018e-01,3.967999999999999956e-04,-3.401428336517859030e+00
1.280000000000001137e-01,4.747999999999999942e-04,-3.323489289717446393e+00
1.290000000000000036e-01,5.511000000000000057e-04,-3.258769588974529174e+00
1.300000000000001155e-01,6.248000000000000081e-04,-3.204258979130756302e+00
1.310000000000000053e-01,6.942000000000000687e-04,-3.158515390664606848e+00
1.320000000000001172e-01,7.606000000000000564e-04,-3.118843678924436258e+00
1.330000000000000071e-01,8.191000000000000147e-04,-3.086663074067376833e+00
1.340000000000001190e-01,8.716000000000000440e-04,-3.059682778425782068e+00
1.350000000000000089e-01,9.075999999999999433e-04,-3.042105512787101507e+00
1.360000000000001208e-01,9.275999999999999957e-04,-3.032639260034050377e+00
1.370000000000000107e-01,9.347999999999999539e-04,-3.029281296279810576e+00
1.380000000000001226e-01,9.257999999999999520e-04,-3.033482823553208085e+00
1.390000000000000124e-01,9.025999999999999301e-04,-3.044504670815872949e+00
1.400000000000001243e-01,8.681000000000000131e-04,-3.061430243778938909e+00
1.410000000000000142e-01,8.216999999999999695e-04,-3.085286713026376137e+00
1.420000000000001261e-01,7.722000000000000131e-04,-3.112270202711969525e+00
1.430000000000000160e-01,7.196000000000000356e-04,-3.142908845326486400e+00
1.440000000000001279e-01,6.673000000000000112e-04,-3.175678875149228642e+00
1.450000000000000178e-01,6.189000000000000274e-04,-3.208379517307185846e+00
1.460000000000001297e-01,5.716000000000000161e-04,-3.242907779881067487e+00
1.470000000000000195e-01,5.256999999999999304e-04,-3.279262022981574987e+00
1.480000000000001315e-01,4.874999999999999776e-04,-3.312025379965444216e+00
1.490000000000000213e-01,4.516999999999999748e-04,-3.345149909438605906e+00
1.500000000000001332e-01,4.212999999999999948e-04,-3.375408540873152230e+00
1.510000000000000231e-01,3.946999999999999988e-04,-3.403732873604484510e+00
1.520000000000001350e-01,3.694999999999999825e-04,-3.432385557269155285e+00
1.530000000000000249e-01,3.481000000000000045e-04,-3.458295976715711539e+00
1.540000000000001368e-01,3.287000000000000208e-04,-3.483200295918375655e+00
1.550000000000000266e-01,3.104000000000000097e-04,-3.508078287413848972e+00
1.560000000000001386e-01,2.949000000000000124e-04,-3.530325227448201986e+00
1.570000000000000284e-01,2.807999999999999949e-04,-3.551602896542232379e+00
1.580000000000001403e-01,2.670999999999999872e-04,-3.573326111978627040e+00
1.590000000000000302e-01,2.546000000000000086e-04,-3.594141600682363435e+00
1.600000000000001421e-01,2.439000000000000196e-04,-3.612788199686269408e+00
1.610000000000000320e-01,2.328999999999999961e-04,-3.632830511465319212e+00
1.620000000000001439e-01,2.237999999999999918e-04,-3.650139917807668777e+00
1.630000000000000338e-01,2.139000000000000222e-04,-3.669789215428472140e+00
1.640000000000001457e-01,2.046999999999999883e-04,-3.688882157337494583e+00
1.650000000000000355e-01,1.967000000000000107e-04,-3.706195640080663267e+00
1.660000000000001474e-01,1.892999999999999934e-04,-3.722849386036203079e+00
1.670000000000000373e-01,1.820000000000000057e-04,-3.739928612014925324e+00
1.680000000000001492e-01,1.754000000000000079e-04,-3.755970410969978079e+00
1.690000000000000391e-01,1.682999999999999980e-04,-3.773915884024176215e+00
1.699999999999999289e-01,1.637000000000000217e-04,-3.785951320588058611e+00
1.710000000000000409e-01,1.579000000000000163e-04,-3.801617869991705589e+00
1.720000000000001528e-01,1.522000000000000132e-04,-3.817585347565445986e+00
1.730000000000000426e-01,1.466999999999999880e-04,-3.833569886156717565e+00
1.739999999999999325e-01,1.424999999999999943e-04,-3.846185135655471043e+00
1.750000000000000444e-01,1.380999999999999958e-04,-3.859806321421368924e+00
