Overpotential / V,"LSV, baseline adjusted",Tafel
0.0001776,3.80E-08,-7.42045296564854
0.0010905,-8.39E-08,-7.07611367438771
0.0019883,2.16E-06,-5.6653215490572
0.0028484,5.52E-06,-5.25800063860107
0.0036086,8.83E-06,-5.05393340764185
0.0043148,8.08E-06,-5.09271107156898
0.0051536,1.16E-05,-4.9366489037531
0.0060919,1.33E-05,-4.87684418002719
0.006967,1.47E-05,-4.83347086749609
0.0079662,1.99E-05,-4.70107261831947
0.0089581,2.19E-05,-4.65966835062774
0.0098116,2.67E-05,-4.57389683723684
0.0106093,2.97E-05,-4.52687497441582
0.0113062,3.40E-05,-4.46861098560252
0.0120824,3.46E-05,-4.46135702732543
0.0129824,3.74E-05,-4.42765512219482
0.0138858,4.55E-05,-4.34235252932057
0.0147003,4.66E-05,-4.3314356146619
0.0155334,4.65E-05,-4.33266661742525
0.0163911,5.74E-05,-4.24138555465448
0.0172468,5.39E-05,-4.26820170026414
0.0181463,6.54E-05,-4.18411412553153
0.018928,6.73E-05,-4.17189573826845
0.019568,6.85E-05,-4.16449860026667
0.0203723,7.86E-05,-4.10452771238089
0.0212312,8.21E-05,-4.08542510097088
0.022098,8.59E-05,-4.06599976401654
0.0229781,9.42E-05,-4.02616723378733
0.0236753,9.87E-05,-4.00563090404698
0.0244388,1.07E-04,-3.97257272037528
0.0252499,1.12E-04,-3.95161789069874
0.0260497,1.24E-04,-3.90566080571949
0.0268659,1.26E-04,-3.89978442582114
0.0276471,1.39E-04,-3.85649775132581
0.0284199,1.48E-04,-3.82929453331421
0.029212,1.56E-04,-3.80626642456141
0.0299559,1.61E-04,-3.79309860106006
0.0308168,1.72E-04,-3.76337180817742
0.0316222,1.86E-04,-3.73125241496058
0.0323821,1.99E-04,-3.7016013153963
0.0331029,2.06E-04,-3.68530230080805
0.0338632,2.15E-04,-3.66663213509491
0.0347226,2.25E-04,-3.6486111318376
0.0355847,2.35E-04,-3.62817859788688
0.0363698,2.53E-04,-3.59698059709704
0.0370297,2.64E-04,-3.57888295317093
0.037722,2.68E-04,-3.57226533007953
