Overpotential / V,<I>/A,Tafel
-0.06580561,-0.011454909563065,-1.94100833523207
-0.0655691,-0.011549428939819,-1.9374394888815
-0.06539037,-0.011508578387089,-1.9389783198779
-0.06428218,-0.011276107376648,-1.94784079721478
-0.06329375,-0.01101529974656,-1.95800368040104
-0.0623815,-0.010761396580272,-1.96813136363734
-0.06134301,-0.010470362533298,-1.98003828073902
-0.06031876,-0.010162440403468,-1.9930019882634
-0.05933886,-0.009840847788586,-2.00696748550725
-0.05841446,-0.009602490594818,-2.01761610953335
-0.05733132,-0.009323367506266,-2.03042719652596
-0.05630281,-0.009192264339162,-2.03657749526528
-0.05538186,-0.008860644122793,-2.0525347060129
-0.05438381,-0.008619221110311,-2.064531978117
-0.0533666,-0.008354287997716,-2.07809055736118
-0.0523771,-0.008080725057258,-2.09254966964142
-0.05129808,-0.007774838395831,-2.10930862925012
-0.05036187,-0.007561809470256,-2.1213742694568
-0.04935431,-0.007239368605117,-2.14029930994528
-0.04835868,-0.006961939655244,-2.15726974541656
-0.04730767,-0.006691593943371,-2.17447042059426
-0.04631897,-0.006479518568764,-2.18845726121219
-0.04534101,-0.006156240863105,-2.21068439672378
-0.04429799,-0.005991431823207,-2.22246937817668
-0.04332259,-0.005735428688013,-2.24143411570857
-0.04235142,-0.005493220147573,-2.26017299574281
-0.04134011,-0.005258723337203,-2.27911967693071
-0.04033321,-0.005046308950418,-2.29702616417236
-0.03931868,-0.004765106691255,-2.32192737101634
-0.0383538,-0.004662201823046,-2.33140893014236
-0.03732273,-0.004388201649818,-2.35771342362442
-0.03633335,-0.004167223899729,-2.38015316481645
-0.03533595,-0.003954536247998,-2.40290443928242
-0.0342957,-0.003791487356855,-2.42119038787928
-0.03330335,-0.003544482027905,-2.45044722137191
-0.03231349,-0.003356564699155,-2.47410497719496
-0.03129628,-0.003125634983596,-2.50506174092532
-0.03027203,-0.002936890892271,-2.53211218754769
-0.02926561,-0.0027482814497,-2.56093879352197
-0.02830091,-0.002592225966147,-2.58632714339812
-0.02727651,-0.0023902010214,-2.6215655723517
-0.02630591,-0.002223789418323,-2.65290634064674
-0.02531698,-0.002089986077199,-2.67985660700647
-0.02431914,-0.001923340659175,-2.71594378736996
-0.02330798,-0.001778178653059,-2.75002460774156
-0.02230534,-0.001648876464719,-2.78281188086288
-0.02131536,-0.00150027980107,-2.82382773779189
-0.02031156,-0.001379834392625,-2.86017303438486
-0.01932814,-0.001268186216553,-2.89681697130951
-0.01833048,-0.001143376603412,-2.94181069887438
-0.01733389,-0.001037166988891,-2.98415131447366
-0.01632058,-0.000936823267438,-3.0283423314344
-0.01530471,-0.000841113041672,-3.07514563312544
-0.01431012,-0.000735500881914,-3.13341680218842
-0.01330647,-0.000660795989291,-3.17993260163505
-0.01234215,-0.00057103856922,-3.24333455754429
-0.01132908,-0.000498645825881,-3.30220781204849
-0.01032748,-0.000423032957802,-3.37362579613825
-0.00932729,-0.000356862764909,-3.44749876400329
-0.00831723,-0.000288207503165,-3.54029471699619
-0.00732702,-0.000231633262916,-3.63519907506774
-0.00633186,-0.00017455132272,-3.75807685582843
-0.00531423,-0.000120601360402,-3.91864779326092
-0.00430169,-6.82E-05,-4.166041176888
-0.00330451,-2.37E-05,-4.62559805301617
-0.0023221,2.16E-05,-4.66559157096989
-0.00132206,6.16E-05,-4.21037476111122
-0.00032702,9.94E-05,-4.00275444436883
