Overpotential / V,<I>/A,Tafel
-1.20578656,-0.00080817130208,-3.09249657528599
-1.20527137,-0.000803903666946,-3.09479599033172
-1.20433039,-0.000806351825871,-3.09347542631449
-1.20333341,-0.000805145508575,-3.09412562539528
-1.20231504,-0.00080955669753,-3.09175272990993
-1.2013051,-0.000809099910022,-3.09199784712429
-1.20032833,-0.000810196124983,-3.09140983829697
-1.199296,-0.000812718030617,-3.09006010506729
-1.19831256,-0.000812443759982,-3.09020669259492
-1.19730661,-0.000814426564508,-3.08914806920293
-1.19632924,-0.000813091020893,-3.08986083489919
-1.19533394,-0.000814996461212,-3.08884427700192
-1.19431087,-0.000815448230477,-3.08860360535536
-1.19331121,-0.000814376633476,-3.08917469583477
-1.1923073,-0.000819815541997,-3.08628385262167
-1.19131898,-0.000819696036064,-3.08634716509602
-1.1903417,-0.000824011777976,-3.08406658068948
-1.18934675,-0.000826254119338,-3.08288636230064
-1.18831084,-0.000824553698163,-3.0837810561424
-1.18732984,-0.000831717766959,-3.08002402112093
-1.18632456,-0.000833005559803,-3.07935209993322
-1.18531982,-0.000836984236483,-3.07728272130521
-1.1843166,-0.000842434317012,-3.07446395024472
-1.18330846,-0.000844677676481,-3.07330898339416
-1.18230256,-0.000849999549212,-3.07058130460885
-1.18132289,-0.000851590070874,-3.06976941086686
-1.18033356,-0.000856456587022,-3.06729464611888
-1.17931562,-0.000859146979672,-3.06593253232702
-1.17833757,-0.00086340116268,-3.06378737084657
-1.17731278,-0.000870491600837,-3.06023541492896
-1.17631004,-0.000869938160396,-3.06051161813217
-1.17533288,-0.00087565820609,-3.05766537805039
-1.17432334,-0.000880737379193,-3.05515357146318
-1.17332921,-0.000881856936685,-3.054601864582
-1.17232176,-0.000887517454999,-3.05182309682453
-1.17133564,-0.000889635328065,-3.05078797927006
-1.17035396,-0.000893856557845,-3.04873216927415
-1.1693298,-0.000896286876389,-3.0475529625566
-1.16832658,-0.00089707013123,-3.04717360331526
-1.16733915,-0.000905825419834,-3.04295549604113
-1.16633446,-0.000906836816834,-3.04247085618635
-1.16531404,-0.000910957142711,-3.04050205455508
-1.16431492,-0.000914417483326,-3.03885547898239
-1.16332637,-0.000918043323965,-3.0371368232487
-1.16233293,-0.000922735669823,-3.03492269071675
-1.16131001,-0.000923086356924,-3.03475766779207
-1.16035671,-0.000931333031919,-3.03089499349535
-1.15931616,-0.000931414126246,-3.03085717964766
-1.15832331,-0.000937266405534,-3.0281369491241
-1.15733007,-0.000940893832456,-3.02645937825147
-1.15632861,-0.000937826337914,-3.02787757470023
-1.15532549,-0.000945375670713,-3.02439557847786
-1.15432762,-0.000946566423608,-3.02384890479123
-1.15332917,-0.000946392938633,-3.02392850879043
-1.15232518,-0.000951653212723,-3.02152128190825
